date,ticker,score,atr_pct,gap_pct
2026-05-11,INTC,97.7,6.325762709563401,4.77105891869027
2026-05-11,MRNA,97.5,6.288868778240618,6.86293185216858
2026-05-11,SNDK,96.2,6.426244404518975,1.5303989338283006
2026-05-11,QCOM,96.1,6.674035136754424,5.897119167878163
2026-05-11,TECH,95.9,7.585963545954661,2.1298568368429702
2026-05-11,MU,95.8,5.611964521484465,6.182293094775263
2026-05-11,RDDT,93.2,6.712587561921322,-1.4762535344712002
2026-05-11,DDOG,92.9,5.3321994334323035,-1.9484457853313457
2026-05-11,AMD,92.4,5.905697692997033,1.177527037679712
2026-05-11,LITE,90.9,8.223414143993208,5.080221252782053
2026-05-12,LITE,97.3,7.574546074592384,-3.3102570989182336
2026-05-12,COHR,96.3,6.946644582070402,-1.772501499395339
2026-05-12,WDC,95.7,5.886767526297927,-3.4856465096323563
2026-05-12,TER,95.0,7.579642994481942,-2.735661383412435
2026-05-12,SMCI,94.7,6.9766465550206584,-1.4319795217220945
2026-05-12,GLW,94.4,6.24771752225131,-1.470660620441686
2026-05-12,QCOM,94.2,6.925742131850453,-3.2374868357371076
2026-05-12,SNDK,94.2,6.699703044570675,-3.5901713982096948
2026-05-12,MRNA,94.0,6.945915259123684,-1.2102862646013341
2026-05-12,ZTS,93.9,6.350968220498307,1.2782097043671743
2026-05-13,QCOM,98.7,8.962959855817777,3.0050912451073346
2026-05-13,GLW,96.6,6.8682978004717,4.842610259641866
2026-05-13,INTC,96.6,7.585251685615703,2.8936222917737022
2026-05-13,CDW,94.4,6.381095434382105,1.7019081168918477
2026-05-13,SNDK,93.5,7.609035545414502,4.164196430282839
2026-05-13,ANET,93.4,6.241106220509959,1.5855267799040003
2026-05-13,WDAY,92.6,5.8096683962588385,-2.5796704747390957
2026-05-13,WDC,92.3,6.6338228805465835,2.9831847978823895
2026-05-13,SWKS,92.1,5.72311818890327,2.0962139056334412
2026-05-13,MU,91.6,6.412712077019362,6.076333196307189
2026-05-14,INTC,95.8,7.936772006034401,-4.680353487877674
2026-05-14,LITE,94.5,8.515665178772936,-2.7533793929976467
2026-05-14,QCOM,93.7,9.090666089469767,-2.1860504302374415
2026-05-14,AKAM,93.4,5.462419377750427,-2.643660495824476
2026-05-14,SNDK,92.6,7.90937580446482,-3.6504188530959096
2026-05-14,MRNA,92.4,7.491641906548885,-1.8246691835700182
2026-05-14,TECH,90.8,7.271744454539923,1.0247250851572327
2026-05-14,MRVL,89.6,6.037811614361046,1.646534411249539
2026-05-14,MU,89.6,6.353047637000593,-1.9922115486416692
2026-05-14,AMD,89.1,6.617925930466622,-1.0998863965172558
2026-05-15,GLW,95.8,6.888734294345262,-4.882849159088921
2026-05-15,COIN,94.0,6.480153112056571,-3.004573030627624
2026-05-15,MU,93.2,6.681338379889867,-5.597866251045685
2026-05-15,COHR,92.7,6.841049560590502,-5.487232944815893
2026-05-15,AMD,91.9,6.079132614040528,-3.63798430621542
2026-05-15,CIEN,91.1,5.949906598004677,-3.5363494854617845
2026-05-15,INTC,90.4,7.537800128478736,-5.296298950647301
2026-05-15,SMCI,90.2,6.848753723623795,-4.329392826751989
2026-05-15,ALB,89.9,6.405771647900117,-3.1606532454269547
2026-05-15,ON,89.8,5.020575903579203,-4.181806591856019
2026-05-18,SNDK,97.2,8.39576128180699,1.7092844498215747
2026-05-18,LITE,95.6,8.958115640694917,-1.793038949005684
2026-05-18,TECH,95.3,7.474431239136655,1.4087774159345987
2026-05-18,COIN,92.5,7.412592201789325,-2.6505617714343717
2026-05-18,INTC,91.6,8.45099187292448,4.321048747532827
2026-05-18,MRNA,90.3,7.437659404569861,1.9167997739807472
2026-05-18,AMD,89.4,6.546132463187113,1.2732831451943738
2026-05-18,CRL,88.8,5.535299453885802,0.8949226318228835
2026-05-18,APP,88.3,5.963572906502843,-0.9002015500249501
2026-05-18,DDOG,87.4,5.739700644700778,-1.365514182244295
2026-05-19,SNDK,98.1,9.255445235660654,-3.245287690917725
2026-05-19,GLW,96.9,8.282993329363213,-2.64351786055971
2026-05-19,MU,96.6,8.443692956249924,-2.3417497802102045
2026-05-19,WDC,96.6,7.628567736913524,-3.7019230705256265
2026-05-19,STX,96.1,7.25344560891631,-2.8791663944482098
2026-05-19,FLEX,95.7,6.762947543594651,-3.32998705596399
2026-05-19,TER,94.8,8.380093866525353,-2.158540083873201
2026-05-19,CIEN,93.3,6.814810089548567,-1.9998952745552079
2026-05-19,LITE,93.2,10.104264198684755,-1.3344931884604117
2026-05-19,QCOM,92.6,9.5136379254448,-3.329404242593766
2026-05-20,MU,97.9,8.716403759697194,5.183620838150703
2026-05-20,INTC,97.2,8.795127114896928,4.89169496359443
2026-05-20,SNDK,95.7,8.991834614620071,3.9536134767019018
2026-05-20,LITE,94.6,9.79323076904992,3.0244112503158593
2026-05-20,MRVL,94.6,6.810168581734984,4.073292393346244
2026-05-20,WDC,94.2,7.351282183080643,2.9793807489112965
2026-05-20,CIEN,93.4,6.987327253168975,2.26786969480281
2026-05-20,TER,91.6,6.980015544352898,1.971882481502894
2026-05-20,STX,91.3,6.673679645133484,3.246744167349274
2026-05-20,GLW,90.6,8.546809903230585,2.7640337597341706
2026-05-21,SMCI,92.7,7.420374666409421,-1.5242030349303608
2026-05-21,RDDT,91.9,6.819110046408386,-1.6425869970408018
2026-05-21,VRT,90.6,6.072006035317657,2.1002864013727933
2026-05-21,DASH,90.3,5.389251840033486,-1.885148298288496
2026-05-21,MRVL,88.5,6.7245328264963335,3.0567405577054636
2026-05-21,NOW,88.4,5.3595619269526695,-2.2362101836830224
2026-05-21,INTC,86.8,8.609137141876808,-2.00067020152543
2026-05-21,IT,86.8,5.128829682898187,-1.4388577189719431
2026-05-21,SNDK,86.1,9.066519020658504,-1.0836220526002618
2026-05-21,WDAY,86.0,5.669264995426944,-4.028116617593729
2026-05-22,SNDK,96.6,8.313390784367979,-1.3956987596198522
2026-05-22,GLW,94.9,7.840800515997282,1.281987973157445
2026-05-22,COHR,92.9,7.7921388010499335,1.0582010582010581
2026-05-22,ECHO,90.3,5.795924256477721,1.4559289019327006
2026-05-22,RDDT,90.3,5.886524017971108,-3.205810299805116
2026-05-22,DELL,89.1,6.002202746207772,6.05221632399479
2026-05-22,DDOG,89.0,5.6432632811118255,1.3337024629816545
2026-05-22,CIEN,87.6,6.203947566136555,2.0043287847556264
2026-05-22,NCLH,87.4,5.5945880432016715,1.4571935708798924
2026-05-22,INTC,87.3,8.546113421789057,1.552739525646097
2026-05-26,SNDK,94.8,8.577013518740172,3.822303645177897
2026-05-26,ECHO,94.2,6.207729322765116,4.2351126367716425
2026-05-26,INTU,93.7,7.277479889436973,-1.7096959364138593
2026-05-26,DELL,91.9,6.017189064542227,1.714149367100647
2026-05-26,VRT,91.9,6.004114844627644,4.153180986502686
2026-05-26,QCOM,90.9,8.360525185998751,1.07490658348568
2026-05-26,MRVL,90.5,6.536369385733903,7.594358235141101
2026-05-26,SMCI,90.1,7.217136597645554,1.1804332415147114
2026-05-26,ON,89.1,5.754240237315259,5.679867708133762
2026-05-26,TTD,89.1,6.011743112296098,-1.6979409071326574
2026-05-27,MU,98.1,7.389542471472025,6.67276509531412
2026-05-27,SNDK,97.6,7.97896116690037,3.550686651726356
2026-05-27,SMCI,95.3,7.231421432054157,3.2075538823440377
2026-05-27,QCOM,93.2,7.995738745822085,-1.3624365198334816
2026-05-27,WDC,92.8,6.029326439343882,2.729428308910353
2026-05-27,FLEX,92.5,7.267521892126294,1.5079505169548428
2026-05-27,MRVL,92.2,6.566653152911142,4.667243578739303
2026-05-27,TER,91.8,5.264539704398574,3.338127600707063
2026-05-27,COIN,91.7,7.457124729254786,-2.0165489332791395
2026-05-27,STX,90.1,5.654508206743435,4.183220354981897
2026-05-28,QCOM,92.9,8.942954878308212,1.1139700820509695
2026-05-28,CIEN,92.4,6.281782807837305,2.8724522767020675
2026-05-28,TER,91.4,5.749370936923357,1.524628473259502
2026-05-28,COIN,90.9,7.767619425934061,-1.8931944465664037
2026-05-28,APP,90.4,6.61908445686765,-0.9985460040263014
2026-05-28,WDC,88.7,5.828443169614869,1.8677034744948726
2026-05-28,HPQ,88.2,4.576025299847276,3.0992582291917725
2026-05-28,COHR,87.6,7.644875016636246,2.009578303862226
2026-05-28,DELL,87.0,5.75742546929464,3.8353174289830627
2026-05-28,NCLH,86.5,4.734356546955179,-2.8650163564343907
2026-05-29,SMCI,96.6,6.229678176377802,7.748186009814578
2026-05-29,QCOM,96.3,8.048595494385523,2.8361253424666555
2026-05-29,SNDK,95.3,7.937785726847034,2.4585161784208656
2026-05-29,ECHO,94.9,6.43876158291854,-3.669798519267727
2026-05-29,HPQ,91.7,5.04084174093264,6.7572991547036665
2026-05-29,COIN,91.0,7.628060919664291,-1.108369971171982
2026-05-29,INTU,90.5,7.232085889139876,1.287539546101238
2026-05-29,F,89.8,4.95924402550234,1.381378663698916
2026-05-29,WDC,89.5,5.730638397710334,2.0934514233435864
2026-05-29,MU,89.1,7.361430397770081,3.625257683720099
2026-06-01,NOW,94.5,5.437116255612184,9.166198660546547
2026-06-01,WDAY,94.0,5.4684211676810754,3.9742783101207135
2026-06-01,INTC,93.8,8.142534398066424,-4.5779560394394725
2026-06-01,HOOD,93.5,5.225267661597009,-4.623542385209169
2026-06-01,COHR,92.3,8.000663421938462,-2.9158736573789565
2026-06-01,COIN,92.1,7.143234227677818,-5.194938437731822
2026-06-01,INTU,91.7,6.783484521176764,2.1627042663211697
2026-06-01,MU,91.4,6.684419094016662,3.987638589405252
2026-06-01,RDDT,89.6,5.334454078178901,2.215905623002486
2026-06-01,GLW,89.2,7.2686327736863845,-2.7875927079228964
2026-06-02,MRVL,98.0,7.132113971925678,15.508369490932344
2026-06-02,INTU,95.4,6.772549673878762,-6.750340406942438
2026-06-02,LITE,94.3,8.940962962306383,3.329282307493094
2026-06-02,HPE,92.7,4.885867156518629,34.17021568785322
2026-06-02,SMCI,92.6,5.974219907737011,4.010232957730502
2026-06-02,AXON,92.5,5.286294823263789,-3.4033741864091063
2026-06-02,COHR,92.2,7.37432546246181,5.224577507291548
2026-06-02,WDAY,91.9,5.267079072627282,-5.488767956833241
2026-06-02,PANW,89.2,4.672286148481007,-4.333073434239995
2026-06-02,SWKS,89.2,5.904280642989789,2.251960028803517
2026-06-03,MRVL,98.5,6.8308980375770405,9.230027012342937
2026-06-03,HPE,96.9,6.108510815018274,-3.5084615621874446
2026-06-03,COHR,96.2,6.901910923230263,2.129353235253496
2026-06-03,HPQ,93.4,5.7189974233870515,-2.4917562563688946
2026-06-03,AXON,92.3,5.3903708538143915,-1.8607678136059136
2026-06-03,QCOM,92.3,7.244881538202683,-2.4165388448455336
2026-06-03,CVNA,90.9,6.063807857814666,-1.7682866763670078
2026-06-03,PANW,89.8,4.912127106025562,-4.098523782208122
