date,ticker,score,score_52w,range_pos,atr_pct,gap_pct
2026-05-11,INTC,97.7,98.045,1.0,6.325762709563401,4.77105891869027
2026-05-11,SNDK,96.2,96.77,1.0,6.426244404518975,1.5303989338283006
2026-05-11,QCOM,96.1,96.68499999999999,1.0,6.674035136754424,5.897119167878163
2026-05-11,MRNA,97.5,96.41478517354989,0.9026523449033264,6.288868778240618,6.86293185216858
2026-05-11,ALB,85.8,86.79937103118377,0.9246247354122519,5.559300467050847,3.282229036728231
2026-05-11,RDDT,93.2,84.36268617614826,0.34284574507655113,6.712587561921322,-1.4762535344712002
2026-05-11,DOW,84.0,82.86559837762105,0.7643732251747377,4.796583246698707,1.7087092117337068
2026-05-11,TECH,95.9,82.54655396925311,0.06877026461687365,7.585963545954661,2.1298568368429702
2026-05-11,APP,90.2,81.94696215954313,0.35179747730287575,5.930407600817618,-2.663532343162571
2026-05-11,APA,83.8,81.53485733626752,0.6869904890845023,4.531576510936597,3.2058474286356096
2026-05-12,LITE,97.3,97.705,1.0,7.574546074592384,-3.3102570989182336
2026-05-12,COHR,96.3,96.85499999999999,1.0,6.946644582070402,-1.772501499395339
2026-05-12,WDC,95.7,96.345,1.0,5.886767526297927,-3.4856465096323563
2026-05-12,MRNA,94.0,92.81760791777906,0.8611738611852708,6.945915259123684,-1.2102862646013341
2026-05-12,VRT,88.9,90.565,1.0,4.840900776626738,-1.7938698256793733
2026-05-12,FIX,84.6,86.91,1.0,4.504963423836725,-2.056091410608705
2026-05-12,ALB,81.2,83.49393105955697,0.9649287373037981,5.720681734936302,-1.9286646725144523
2026-05-12,GEV,82.3,83.42654881738541,0.8981032544923605,5.3265562516705005,-1.7780553953162395
2026-05-12,COIN,91.9,82.17919367957957,0.2709462453053039,5.640746545039703,-2.1699040048895752
2026-05-12,FCX,80.6,80.94432419240233,0.8289549461601565,4.349851468178786,-1.1806774954205264
2026-05-13,GLW,96.6,96.25443392336459,0.9429622615576387,6.8682978004717,4.842610259641866
2026-05-13,INTC,96.6,95.90733021077527,0.9198220140516845,7.585251685615703,2.8936222917737022
2026-05-13,QCOM,98.7,95.29637474347624,0.7600916495650821,8.962959855817777,3.0050912451073346
2026-05-13,VRT,85.6,87.71559587921799,0.9970397252812001,4.9498620200930965,2.3343249558025874
2026-05-13,MRNA,85.3,85.58767538593403,0.872178359062269,7.118989326305482,-0.7846804279822471
2026-05-13,FCX,80.2,81.31534475680107,0.8763563171200713,4.318383300550645,1.2115751424315435
2026-05-13,HUM,78.8,80.29625493585763,0.887750329057176,4.31449457027134,1.012354891683007
2026-05-13,ECHO,77.0,79.72845924019859,0.9518972826799055,4.051190147087942,2.233729541335301
2026-05-13,DOW,77.7,79.32021297903148,0.8850141986020986,4.663418652579997,1.4709561548780623
2026-05-13,COIN,88.8,79.06193705203417,0.23879580346894486,5.9612106480413445,-1.6567147233278918
2026-05-14,INTC,95.8,95.18374539925543,0.9169163599503629,7.936772006034401,-4.680353487877674
2026-05-14,LITE,94.5,94.97753252719788,0.9768355018131918,8.515665178772936,-2.7533793929976467
2026-05-14,AKAM,93.4,94.39,1.0,5.462419377750427,-2.643660495824476
2026-05-14,MRNA,92.4,90.41641026209577,0.7917606841397173,7.491641906548885,-1.8246691835700182
2026-05-14,ALB,87.5,88.00329441821587,0.9085529612143917,5.949538014234246,-1.4631245176099514
2026-05-14,CF,78.7,78.94425926293437,0.8032839508622913,4.5190662433969475,-0.9800823561223854
2026-05-14,HUM,75.6,78.53695066997017,0.9517967113313456,4.400759596583638,-0.679024859037022
2026-05-14,RDDT,86.0,78.09857019747898,0.3332380131652656,6.477789242346872,1.073837809324138
2026-05-14,TECH,90.8,77.17999999999999,0.0,7.271744454539923,1.0247250851572327
2026-05-14,J,88.9,75.565,0.0,4.977428466714776,1.1652838996157422
2026-05-15,GLW,95.8,96.42999999999999,1.0,6.888734294345262,-4.882849159088921
2026-05-15,COHR,92.7,93.795,1.0,6.841049560590502,-5.487232944815893
2026-05-15,MU,93.2,93.63669258368522,0.9611128389123482,6.681338379889867,-5.597866251045685
2026-05-15,ALB,89.9,89.12384042395824,0.8472560282638826,6.405771647900117,-3.1606532454269547
2026-05-15,VRT,84.6,86.91,1.0,4.767485994917504,-3.1682782020723854
2026-05-15,MRNA,86.4,85.15134279394078,0.7807561862627193,7.431826377014139,-3.19807817941262
2026-05-15,COIN,94.0,83.7171443654777,0.2544762910318465,6.480153112056571,-3.004573030627624
2026-05-15,GEV,78.8,80.75518826725533,0.9183458844836899,4.427335615626323,-2.249367613718154
2026-05-15,F,76.6,80.11,1.0,3.72434812651352,-3.4530387831958365
2026-05-15,HOOD,89.0,78.92195389711323,0.2181302598075494,5.357141844212053,-2.676575110777489
2026-05-18,SNDK,97.2,96.0981256100149,0.8985417073343264,8.39576128180699,1.7092844498215747
2026-05-18,LITE,95.6,94.99997069184805,0.9159980461232039,8.958115640694917,-1.793038949005684
2026-05-18,INTC,91.6,90.04469010625402,0.8123126737502679,8.45099187292448,4.321048747532827
