rank,indicators,n_indicators,n_trades,win_rate_pct,avg_return_pct,median_return_pct,std_return_pct
677,Stoch_bull & VolRatio_gt1.2 & ROC10_pos,3,460,47.82608695652174,-0.06646781173208609,-0.06371034646149713,2.5206954327156463
678,RSI_50_70 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21,4,324,45.370370370370374,-0.06701615131024652,-0.16021599656192537,2.0325676823076595
679,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & ROC10_pos,5,231,44.58874458874459,-0.06800947415726324,-0.19285695853711207,2.0207680331641384
680,RSI_50_70 & MACD_bull & Stoch_bull & EMA9_gt_EMA21,4,938,46.375266524520256,-0.06949141528119036,-0.10429254472965283,1.9900420171947522
681,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & EMA9_gt_EMA21 & ROC10_pos,7,87,43.67816091954023,-0.07045548660227002,-0.2503142817509638,2.453064474113678
682,RSI_50_70 & MACD_bull & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,138,42.7536231884058,-0.07236173137566322,-0.2834544855345885,2.544277951548621
683,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & EMA9_gt_EMA21,6,88,43.18181818181818,-0.07339135440794321,-0.2895630676262386,2.4392405017750374
684,MACD_bull & Stoch_bull & WilliamsR_gt-50 & ROC10_pos,4,1573,46.34456452638271,-0.07362246248410745,-0.09317785539084047,1.9616361027258185
685,RSI_50_70 & MACD_bull & Stoch_bull & WilliamsR_gt-50 & EMA9_gt_EMA21,5,895,46.36871508379888,-0.07392524826006572,-0.10367644669281824,2.001352518068876
686,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,7,191,48.69109947643979,-0.0743365807622953,-0.039921810968782105,2.3528933453084644
687,RSI_50_70 & MACD_bull & Stoch_bull & WilliamsR_gt-50,4,1257,46.77804295942721,-0.07736784006752782,-0.08437927583181828,1.9907916243290946
688,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,6,71,43.66197183098591,-0.07829901621618918,-0.20584718814803082,2.3192701356804104
689,MACD_bull & Stoch_bull & WilliamsR_gt-50 & EMA9_gt_EMA21,4,913,46.22124863088718,-0.07966859516187176,-0.11350465790452503,1.994112034317781
690,MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,6,37,37.83783783783784,-0.07986685075460691,-0.43389665837844665,2.7461309326959094
691,MACD_bull & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,4,306,43.790849673202615,-0.08044936741816656,-0.22141052614797707,2.6810855683127524
692,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21,7,24,33.33333333333333,-0.08084852920265188,-0.7256542380017138,2.9482335804965936
693,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,8,24,33.33333333333333,-0.08084852920265188,-0.7256542380017138,2.9482335804965936
694,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,8,24,33.33333333333333,-0.08084852920265188,-0.7256542380017138,2.9482335804965936
695,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,9,24,33.33333333333333,-0.08084852920265188,-0.7256542380017138,2.9482335804965936
696,MACD_bull & Stoch_bull & EMA9_gt_EMA21,3,965,46.21761658031088,-0.08123770340795872,-0.120187421463236,1.9799159383299985
697,RSI_50_70 & Stoch_bull & VolRatio_gt1.2 & ROC10_pos,4,362,47.790055248618785,-0.08132713203882386,-0.06865409892941496,2.376042282716201
698,RSI_50_70 & MACD_bull & Stoch_bull,3,1329,46.72686230248307,-0.08159476125425975,-0.10271708255431221,1.981578667016547
699,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100,5,72,43.05555555555556,-0.08177836117848537,-0.21571717702272364,2.3032943688861103
700,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50 & EMA9_gt_EMA21,6,126,48.41269841269841,-0.08253518530257754,-0.0627036035768164,2.234777265128391
701,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & WilliamsR_gt-50,6,192,48.4375,-0.08313995147573684,-0.04400995134828238,2.3499096953799308
702,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & ROC10_pos,6,192,48.4375,-0.08511780578224404,-0.04400995134828238,2.3514833727989624
703,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50 & ROC10_pos,6,99,44.44444444444444,-0.08586131873801538,-0.20584718814803082,2.4236554825745595
704,MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,6,72,43.05555555555556,-0.08598169100069604,-0.23365734042622785,2.2507721264140854
705,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & EMA9_gt_EMA21,4,141,47.5177304964539,-0.08612504174289058,-0.07407105999228394,2.1872170828599535
706,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21,5,34,41.17647058823529,-0.08668222032597134,-1.0161440676654248,2.9114589925754983
707,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21,6,34,41.17647058823529,-0.08668222032597134,-1.0161440676654248,2.9114589925754983
708,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,6,34,41.17647058823529,-0.08668222032597134,-1.0161440676654248,2.9114589925754983
709,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,34,41.17647058823529,-0.08668222032597134,-1.0161440676654248,2.9114589925754983
710,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,7,66,42.42424242424242,-0.08753202690331964,-0.23365734042622785,2.248711403378092
711,MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50,5,100,44.0,-0.08829082408565042,-0.21571717702272364,2.411627912087345
712,MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21,5,73,42.465753424657535,-0.089308131582899,-0.2503142817509638,2.235480919147754
713,RSI_50_70 & MACD_bull & Stoch_bull & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,6,796,45.85427135678392,-0.08996567968258606,-0.12210856224924546,2.0027975850297017
714,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,5,100,47.0,-0.09017078558774586,-0.10761735206512141,2.1278127723515428
715,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21,6,67,41.7910447761194,-0.09113321834508366,-0.2503142817509638,2.2320586289808677
716,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21 & ROC10_pos,7,86,46.51162790697674,-0.09116007838009907,-0.12330743913336156,2.1179191701387965
717,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100,6,174,48.85057471264368,-0.09198470224487176,-0.03052311215393209,2.3509975991961762
718,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50,7,174,48.85057471264368,-0.09198470224487176,-0.03052311215393209,2.3509975991961762
719,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100 & ROC10_pos,7,174,48.85057471264368,-0.09198470224487176,-0.03052311215393209,2.3509975991961762
720,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,8,174,48.85057471264368,-0.09198470224487176,-0.03052311215393209,2.3509975991961762
721,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100,4,101,46.53465346534654,-0.09253356843837725,-0.15043721501733462,2.1173846774925615
722,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & VolRatio_gt1.2,5,193,48.18652849740933,-0.09381970190639342,-0.04809809172778266,2.3484809437564587
723,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & EMA9_gt_EMA21,6,87,45.97701149425287,-0.0938917079791958,-0.18181738915381493,2.105864410815598
724,RSI_50_70 & MACD_bull & Stoch_bull & EMA9_gt_EMA21 & ROC10_pos,5,834,45.68345323741007,-0.09453650664185655,-0.14479279073671325,1.9877073534275893
725,RSI_50_70 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & ROC10_pos,5,329,48.328267477203646,-0.09525165714572743,-0.060609718040724576,2.393689583626773
726,MACD_bull & Stoch_bull & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,5,812,45.689655172413794,-0.09581260975111258,-0.1404941596798131,1.9970187999399556
727,MACD_bull & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,6,140,42.142857142857146,-0.09705260205691812,-0.29579874644864196,2.536304755981573
728,RSI_50_70 & ADX_gt25 & Stoch_bull & CCI_gt100 & ROC10_pos,5,112,45.535714285714285,-0.0975751003288199,-0.1873371738454635,2.0989317566966283
729,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,7,123,47.96747967479675,-0.09802942117366885,-0.06479748911290821,2.25524476866377
730,MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,6,79,44.303797468354425,-0.0986824914492614,-0.20584718814803082,2.2377579628344035
731,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50,4,144,47.91666666666667,-0.09995810528021495,-0.06943427455259607,2.208773256822422
732,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & EMA9_gt_EMA21 & ROC10_pos,5,138,47.10144927536232,-0.1000131618984353,-0.08531132144914275,2.2048080909239687
733,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,8,64,42.1875,-0.10052980182760077,-0.21571717702272364,2.3315240213898294
734,MACD_bull & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50,5,80,43.75,-0.10155910847491456,-0.21142379362476135,2.2238749763850016
735,RSI_50_70 & MACD_bull & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,6,141,42.5531914893617,-0.10232846788044589,-0.29570046686833384,2.5315361382260466
736,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50,7,65,41.53846153846154,-0.10404183339181487,-0.22558716589741648,2.313690304884867
737,RSI_50_70 & MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & ROC10_pos,6,45,40.0,-0.1041924559719993,-0.43389665837844665,2.713283733943918
738,MACD_bull & Stoch_bull & EMA9_gt_EMA21 & ROC10_pos,4,856,45.5607476635514,-0.10419848585763582,-0.14980827421025253,1.979943635483616
739,RSI_50_70 & ADX_gt25 & Stoch_bull & CCI_gt100,4,114,44.73684210526316,-0.10442748794651728,-0.19935207334257143,2.081177493721517
740,BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50 & ROC10_pos,5,141,47.5177304964539,-0.1138450540183507,-0.07407105999228394,2.226191277741382
741,MACD_bull & Stoch_bull & VolRatio_gt1.2 & EMA9_gt_EMA21 & ROC10_pos,5,144,42.36111111111111,-0.12163013982382494,-0.29579874644864196,2.5153779285487685
742,RSI_50_70 & MACD_bull & Stoch_bull & WilliamsR_gt-50 & ROC10_pos,5,1080,45.83333333333333,-0.1239138768197523,-0.12640186795124525,1.982190269191205
743,RSI_50_70 & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & EMA9_gt_EMA21,5,131,46.56488549618321,-0.12671164125010592,-0.09655158290600155,2.207246968147232
744,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50 & ROC10_pos,7,91,42.857142857142854,-0.12695103734634405,-0.22558716589741648,2.458300822979397
745,RSI_50_70 & MACD_bull & BB_pctB_0.8-1.0 & ADX_gt25 & Stoch_bull & WilliamsR_gt-50,6,92,42.391304347826086,-0.1291451766523785,-0.23795072382419014,2.444993580675567
746,BB_pctB_0.8-1.0 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,6,232,43.103448275862064,-0.13188832045237744,-0.25281557905076446,2.117940676000992
747,RSI_50_70 & MACD_bull & Stoch_bull & ROC10_pos,4,1136,45.598591549295776,-0.13496601338182146,-0.14946660290421943,1.9762688967311512
748,BB_pctB_0.8-1.0 & Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,5,244,43.44262295081967,-0.13615120454852042,-0.25281557905076446,2.076022145105275
749,Stoch_bull & CCI_gt100 & WilliamsR_gt-50 & ROC10_pos,4,362,46.13259668508287,-0.13709313973329357,-0.13945643428718754,2.1320968066031876
