rank,indicators,n_indicators,n_trades,win_rate_blind,avg_return_blind,median_return_blind,win_rate_trail,avg_return_trail,median_return_trail,std_return_trail
1,MACD_bull & ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,5,86,41.86046511627907,4.721677969178767e-05,-0.32278070838058615,53.48837209302325,0.2255338056816719,0.053293410823010395,0.7279989771237316
2,ADX_gt25 & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,4,156,43.58974358974359,0.08478238556878549,-0.2888953869464854,54.48717948717948,0.2119900693817931,0.05212453690281878,0.6348751681874013
3,Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,5,96,32.29166666666667,-0.4055101876576,-0.7456895197542055,62.5,0.21168578874012745,0.0858294251803555,0.5196363952511416
4,RSI_50_70 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,6,93,32.25806451612903,-0.39769251744630507,-0.7418721361553487,63.44086021505376,0.2108123953589929,0.08797456340166135,0.5241105932585375
5,MACD_bull & Stoch_bull & VolRatio_gt1.2 & WilliamsR_gt-50,4,306,44.11764705882353,-0.0830590026103707,-0.2075804488115026,60.45751633986928,0.20825061162566488,0.062144719245145766,0.5760994523043987
6,Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21,4,99,32.323232323232325,-0.42150568808865424,-0.7495069033530621,61.61616161616161,0.20367583558675934,0.08368428695904966,0.5158449523973636
7,VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,4,1661,51.8362432269717,0.14867088249470667,0.07227298539053693,58.21794099939795,0.20297986858249356,0.07271847649205536,0.5074155191673393
8,VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21 & ROC10_pos,5,1654,51.81378476420798,0.14745146811041082,0.07217108590475474,58.22249093107617,0.2029210914063618,0.07251652022597461,0.5079973233796634
9,RSI_50_70 & Stoch_bull & VolRatio_gt1.2 & CCI_gt100 & EMA9_gt_EMA21,5,96,32.29166666666667,-0.4144321794599329,-0.7456895197542055,62.5,0.20257942471274248,0.0858294251803555,0.5200781683613245
10,ADX_gt25 & VolRatio_gt1.2 & CCI_gt100 & WilliamsR_gt-50 & EMA9_gt_EMA21,5,755,51.39072847682119,0.13660575377133113,0.0534918276374463,56.82119205298013,0.20194684705500482,0.06983398184176054,0.5388146510823135
