date,ticker,score,atr_pct,gap_pct,open,high,low,close
2026-04-28,SNDK,96.2,6.052233545934982,-3.9805622808420322,1027.5999755859375,1054.219970703125,980.280029296875,1002.3499755859375
2026-04-28,COHR,95.5,7.025338480634874,-5.296550506625208,304.5,312.5199890136719,291.0,303.9700012207031
2026-04-28,INTC,90.6,5.514093964396388,-4.365218470083284,81.27999877929688,84.58999633789062,80.80000305175781,84.5199966430664
2026-04-28,COIN,89.6,6.251634482408547,-3.294689835697251,190.1999969482422,195.94000244140625,188.75,194.10000610351562
2026-04-28,RDDT,89.3,5.343030481343908,-4.48786101997205,153.02000427246094,153.72999572753906,146.5500030517578,147.92999267578125
2026-04-28,DOW,88.4,5.844206555953001,2.0997456267647983,38.900001525878906,39.099998474121094,37.849998474121094,38.0099983215332
2026-04-28,ALB,88.1,5.740992282431293,-2.4407332967381383,194.66000366210938,195.52000427246094,184.7899932861328,186.89999389648438
2026-04-28,APP,85.3,6.22359092672562,-1.1492772918631795,455.0,463.0,441.5,449.0299987792969
2026-04-28,HOOD,84.5,6.048242494611257,-2.966048784140747,81.45999908447266,83.13999938964844,80.81999969482422,82.06999969482422
2026-04-28,ARE,83.7,4.226764463993246,-3.643546526285365,43.900001525878906,44.130001068115234,39.40999984741211,40.40999984741211
2026-04-29,SNDK,95.1,6.4101216559015,6.808999018541755,1070.5999755859375,1103.0,1060.0,1064.2099609375
2026-04-29,LITE,94.2,8.481088641924767,3.758038644107432,821.1099853515625,887.9000244140625,814.1890258789062,858.3200073242188
2026-04-29,ALB,93.9,6.417871614972885,2.7180321010969513,191.97999572753906,191.97999572753906,186.75999450683594,190.8800048828125
2026-04-29,INTC,92.5,5.369819130703679,1.9167094308148298,86.13999938964844,94.94999694824219,85.87000274658203,94.75
2026-04-29,RDDT,88.6,5.78801641773934,-1.3046662416939496,146.0,148.77999877929688,143.08999633789062,147.75
2026-04-29,COIN,86.6,6.015308247407236,-3.5188055725316016,187.27000427246094,187.27000427246094,177.6199951171875,181.72999572753906
2026-04-29,HOOD,86.0,5.743789076676191,-11.904467746309198,72.30000305175781,73.58999633789062,69.93000030517578,71.19999694824219
2026-04-29,MRNA,85.7,5.78186578582048,-0.827321584000865,46.75,47.189998626708984,44.619998931884766,45.720001220703125
2026-04-29,ARE,85.0,5.6174212357793225,-0.7423886122082207,40.11000061035156,41.38999938964844,40.099998474121094,41.04999923706055
2026-04-29,CHTR,84.0,7.9342630360762945,0.7451870380593564,174.39999389648438,174.7899932861328,158.4199981689453,158.64999389648438
2026-04-30,TER,95.8,6.6424646772015,6.74762978937361,327.0,353.5400085449219,326.7300109863281,343.4700012207031
2026-04-30,FICO,95.1,7.179065956078857,-4.17508634126513,1000.0,1026.0,965.5,1025.0
2026-04-30,SMCI,91.7,6.64079450637208,2.241641943118689,26.90999984741211,27.520000457763672,26.350000381469727,27.399999618530273
2026-04-30,CSGP,85.5,5.140594375114012,-1.113067003247968,33.7599983215332,34.75,33.33000183105469,34.61000061035156
2026-04-30,MRNA,85.3,6.1254847754916515,1.049867737140332,46.20000076293945,47.939998626708984,45.75,45.939998626708984
2026-04-30,PODD,84.9,4.298569843081747,2.487186365001248,164.0,172.8000030517578,163.00999450683594,172.13999938964844
2026-04-30,TTD,84.6,4.9012250267343545,-2.0517028427633344,23.8700008392334,23.90999984741211,23.149999618530273,23.59000015258789
2026-04-30,NCLH,84.1,5.4224606143021,2.02587897427795,18.1299991607666,18.59000015258789,17.969999313354492,18.18000030517578
2026-04-30,CVNA,83.8,4.928389627461005,5.794398024925817,83.91400146484375,83.91400146484375,74.31800079345703,79.16000366210938
2026-04-30,FCX,83.5,4.7451766732933836,1.7565431137176462,57.93000030517578,58.34000015258789,57.02000045776367,57.779998779296875
2026-05-01,COIN,92.6,6.5246996846349825,2.1888483340437093,191.8800048828125,194.50999450683594,189.86000061035156,191.25
2026-05-01,SNDK,90.9,6.111539805404951,-3.419028545155584,1059.02001953125,1189.239990234375,1048.0,1187.0
2026-05-01,FICO,90.6,6.703484405623911,2.341463414634146,1049.0,1063.0,1002.1900024414062,1035.5
2026-05-01,HOOD,89.7,7.347664886090804,1.2141612616835245,73.7750015258789,75.27999877929688,73.05999755859375,73.66000366210938
2026-05-01,GLW,88.7,5.769866124994361,-1.3516811656436076,162.02000427246094,163.97000122070312,157.6999969482422,158.25999450683594
2026-05-01,CHTR,88.6,8.784889687647032,0.7567960367241928,166.4199981689453,174.3000030517578,166.00999450683594,171.74000549316406
2026-05-01,BLDR,88.2,5.449487846740377,0.9482868058253888,79.83999633789062,79.97000122070312,75.37999725341797,75.72000122070312
2026-05-01,ARES,87.5,4.861889625352078,2.2998270129042693,120.0999984741211,124.80999755859375,114.94000244140625,119.0
2026-05-01,CSGP,87.3,5.006806999404878,1.9358513641427721,35.279998779296875,36.09000015258789,34.349998474121094,34.720001220703125
2026-05-01,IP,84.3,4.8229568172741475,0.9861907833929752,30.719999313354492,32.119998931884766,30.170000076293945,31.760000228881836
2026-05-04,LITE,97.4,7.237187732946023,3.8897616131636963,986.8800048828125,1004.9400024414062,952.0,976.1799926757812
2026-05-04,SNDK,96.8,5.883927528343701,2.963778745656066,1222.1800537109375,1275.1099853515625,1205.0,1255.8599853515625
2026-05-04,MU,94.8,5.3376785517493825,3.3916661197768603,560.5999755859375,592.7999877929688,557.760009765625,576.4500122070312
2026-05-04,BLDR,92.2,5.654290381395447,-0.9508732291280847,75.0,76.41000366210938,73.5,73.75
2026-05-04,ARE,90.6,5.158251414267466,-2.077798074494891,40.529998779296875,41.65999984741211,40.209999084472656,41.13999938964844
2026-05-04,NCLH,89.4,5.156830141480598,-6.8580491483500525,17.520000457763672,18.079999923706055,16.90999984741211,17.200000762939453
2026-05-04,IP,87.7,4.812883927155308,2.078079141395248,32.41999816894531,33.099998474121094,31.1299991607666,31.200000762939453
2026-05-04,ALB,87.1,5.762770786271273,1.1605116274677085,196.1300048828125,198.85000610351562,187.3300018310547,190.69000244140625
2026-05-04,CSGP,86.5,4.832534890101439,3.0241912446548094,35.77000045776367,35.86000061035156,34.689998626708984,35.380001068115234
2026-05-04,CVNA,85.9,5.591947333531195,0.7030868240490252,77.05799865722656,77.5999984741211,73.50499725341797,75.30999755859375
2026-05-05,INTC,95.7,5.7669354900011305,4.938404068925503,100.51000213623047,110.4800033569336,100.08000183105469,108.1500015258789
2026-05-05,TER,94.1,7.147726611762555,2.4152423653148696,345.5899963378906,366.1300048828125,345.0400085449219,357.1000061035156
