ticker,n,win_rate,avg_net_credit_dollars,avg_max_risk_dollars,short_mult,wing_mult,iv_mult,max_move_bound
SNAP,4,0.0,43.6175,118.88250000000001,1.0,1.6,1.3,0.12
TJX,1,0.0,55.1,194.89999999999998,1.0,1.6,1.3,0.12
TSLA,14,0.35714285714285715,192.18428571428575,539.9585714285714,1.0,1.6,1.3,0.12
UBER,2,0.0,50.04500000000001,124.955,1.0,1.6,1.3,0.12
V,1,1.0,231.53,768.4699999999999,1.0,1.6,1.3,0.12
AAPL,1,1.0,140.47,359.53,1.0,1.6,1.3,0.25
ADBE,4,0.25,299.4975,700.5024999999999,1.0,1.6,1.3,0.25
AMD,13,0.46153846153846156,159.0353846153846,417.8876923076923,1.0,1.6,1.3,0.25
AMZN,3,0.3333333333333333,117.82,298.8466666666667,1.0,1.6,1.3,0.25
AVGO,3,0.0,170.65333333333334,412.68,1.0,1.6,1.3,0.25
AXP,1,1.0,151.61,348.39000000000004,1.0,1.6,1.3,0.25
BA,2,0.0,158.27499999999998,341.725,1.0,1.6,1.3,0.25
BABA,4,0.5,78.60000000000001,171.4,1.0,1.6,1.3,0.25
CAT,1,1.0,163.38,336.62,1.0,1.6,1.3,0.25
COIN,15,0.4666666666666667,173.60200000000003,493.0646666666666,1.0,1.6,1.3,0.25
COST,1,1.0,296.83000000000004,703.17,1.0,1.6,1.3,0.25
CRM,4,0.25,97.2825,277.71750000000003,1.0,1.6,1.3,0.25
CVX,1,1.0,58.81999999999999,191.18,1.0,1.6,1.3,0.25
DIS,1,0.0,89.58,160.42000000000002,1.0,1.6,1.3,0.25
GM,1,1.0,64.89,185.10999999999999,1.0,1.6,1.3,0.25
GOOGL,1,1.0,120.07000000000001,379.92999999999995,1.0,1.6,1.3,0.25
GS,1,1.0,382.71999999999997,1117.28,1.0,1.6,1.3,0.25
HON,1,0.0,153.64,346.36,1.0,1.6,1.3,0.25
INTC,3,0.6666666666666666,46.67000000000001,103.32999999999998,1.0,1.6,1.3,0.25
ISRG,1,1.0,366.09,1133.91,1.0,1.6,1.3,0.25
JD,5,0.6,42.352000000000004,87.648,1.0,1.6,1.3,0.25
JPM,1,1.0,167.39,332.61,1.0,1.6,1.3,0.25
LLY,1,0.0,760.88,1739.1200000000001,1.0,1.6,1.3,0.25
LOW,1,1.0,113.46000000000001,386.54,1.0,1.6,1.3,0.25
MA,1,1.0,284.71000000000004,715.29,1.0,1.6,1.3,0.25
META,5,0.2,286.442,763.5579999999999,1.0,1.6,1.3,0.25
MS,1,1.0,102.27999999999999,397.71999999999997,1.0,1.6,1.3,0.25
MSFT,1,0.0,329.8,670.2,1.0,1.6,1.3,0.25
MU,7,0.2857142857142857,335.7828571428571,807.0742857142857,1.0,1.6,1.3,0.25
NFLX,2,0.5,57.38999999999999,117.61000000000001,1.0,1.6,1.3,0.25
NOW,4,0.25,92.67,219.83,1.0,1.6,1.3,0.25
NVDA,5,0.4,63.712,176.28799999999998,1.0,1.6,1.3,0.25
PLTR,4,0.0,88.3,224.2,1.0,1.6,1.3,0.25
QCOM,4,0.25,110.45500000000001,327.045,1.0,1.6,1.3,0.25
SHOP,8,0.25,76.46875,198.53124999999997,1.0,1.6,1.3,0.25
SLB,2,0.5,37.75,112.25,1.0,1.6,1.3,0.25
SNAP,4,0.0,43.6175,118.88250000000001,1.0,1.6,1.3,0.25
TJX,1,0.0,55.1,194.89999999999998,1.0,1.6,1.3,0.25
TSLA,14,0.35714285714285715,192.18428571428575,539.9585714285714,1.0,1.6,1.3,0.25
UBER,2,0.0,50.04500000000001,124.955,1.0,1.6,1.3,0.25
V,1,1.0,231.53,768.4699999999999,1.0,1.6,1.3,0.25
AAPL,1,1.0,287.15999999999997,712.84,1.0,1.6,1.6,0.12
ADBE,8,0.25,303.6275,821.3725000000001,1.0,1.6,1.6,0.12
AMD,15,0.4666666666666667,168.3006666666667,431.69933333333336,1.0,1.6,1.6,0.12
AMZN,6,0.16666666666666666,94.04499999999999,239.28833333333333,1.0,1.6,1.6,0.12
AVGO,8,0.125,155.25125,407.2487499999999,1.0,1.6,1.6,0.12
AXP,2,1.0,196.54,428.4599999999999,1.0,1.6,1.6,0.12
BA,4,0.75,147.63250000000002,414.8675,1.0,1.6,1.6,0.12
BABA,10,0.3,84.92999999999998,215.07,1.0,1.6,1.6,0.12
CAT,2,0.5,433.685,1066.315,1.0,1.6,1.6,0.12
COIN,18,0.6111111111111112,170.37722222222226,474.0672222222223,1.0,1.6,1.6,0.12
COST,1,1.0,307.66,692.34,1.0,1.6,1.6,0.12
CRM,5,0.6,156.974,343.02599999999995,1.0,1.6,1.6,0.12
CVX,1,1.0,132.73999999999998,367.26,1.0,1.6,1.6,0.12
DE,1,0.0,235.42999999999998,764.5699999999999,1.0,1.6,1.6,0.12
DIS,1,0.0,79.43,170.57,1.0,1.6,1.6,0.12
GM,4,1.0,29.5175,70.4825,1.0,1.6,1.6,0.12
GOOGL,3,0.6666666666666666,115.40000000000002,217.93333333333337,1.0,1.6,1.6,0.12
GS,2,1.0,330.46000000000004,919.54,1.0,1.6,1.6,0.12
HD,2,1.0,142.305,357.695,1.0,1.6,1.6,0.12
