ticker,n,win_rate,avg_net_credit_dollars,avg_max_risk_dollars,short_mult,wing_mult,iv_mult,max_move_bound
MA,1,1.0,165.04000000000002,334.96,1.0,1.3,1.6,0.12
META,4,0.5,249.67000000000002,562.8299999999999,1.0,1.3,1.6,0.12
MSFT,1,0.0,174.11,325.89,1.0,1.3,1.6,0.12
MU,6,0.3333333333333333,280.16166666666663,553.1716666666667,1.0,1.3,1.6,0.12
NFLX,1,0.0,33.57,66.43,1.0,1.3,1.6,0.12
NOW,2,0.0,85.765,164.23499999999999,1.0,1.3,1.6,0.12
NVDA,7,0.42857142857142855,92.00571428571429,172.28,1.0,1.3,1.6,0.12
PLTR,3,0.0,86.03999999999999,163.96,1.0,1.3,1.6,0.12
QCOM,8,0.5,98.215,183.035,1.0,1.3,1.6,0.12
ROST,1,0.0,85.72,164.28,1.0,1.3,1.6,0.12
SHOP,3,0.0,72.89333333333333,127.10666666666668,1.0,1.3,1.6,0.12
SLB,3,0.6666666666666666,47.236666666666665,102.76333333333334,1.0,1.3,1.6,0.12
SNAP,2,0.0,57.010000000000005,117.99,1.0,1.3,1.6,0.12
TGT,1,0.0,85.92999999999999,164.07,1.0,1.3,1.6,0.12
TJX,1,0.0,77.14999999999999,172.85,1.0,1.3,1.6,0.12
TSLA,11,0.45454545454545453,182.13363636363638,386.0481818181818,1.0,1.3,1.6,0.12
UBER,1,1.0,34.63,65.36999999999999,1.0,1.3,1.6,0.12
UNH,1,0.0,180.92,319.08000000000004,1.0,1.3,1.6,0.12
V,1,1.0,179.39000000000001,320.61,1.0,1.3,1.6,0.12
AAPL,1,1.0,189.71,310.29,1.0,1.3,1.6,0.25
ADBE,6,0.3333333333333333,212.32500000000002,371.0083333333333,1.0,1.3,1.6,0.25
AMD,9,0.5555555555555556,136.48111111111112,252.4077777777778,1.0,1.3,1.6,0.25
AMZN,2,0.5,112.99000000000001,262.01,1.0,1.3,1.6,0.25
AVGO,3,0.0,153.02,263.64666666666665,1.0,1.3,1.6,0.25
AXP,1,1.0,200.92,299.08000000000004,1.0,1.3,1.6,0.25
BA,1,1.0,97.71,152.29,1.0,1.3,1.6,0.25
BABA,3,0.3333333333333333,89.25333333333333,160.74666666666667,1.0,1.3,1.6,0.25
CAT,1,0.0,378.93,621.07,1.0,1.3,1.6,0.25
COIN,13,0.46153846153846156,126.14769230769231,258.46769230769223,1.0,1.3,1.6,0.25
COST,1,1.0,174.03,325.97,1.0,1.3,1.6,0.25
CRM,4,0.5,107.4875,205.0125,1.0,1.3,1.6,0.25
CVX,1,1.0,83.43,166.57,1.0,1.3,1.6,0.25
DE,1,0.0,183.03,316.96999999999997,1.0,1.3,1.6,0.25
GM,1,1.0,35.0,65.0,1.0,1.3,1.6,0.25
GOOGL,3,0.6666666666666666,96.10666666666667,153.89333333333332,1.0,1.3,1.6,0.25
GS,1,1.0,272.21999999999997,727.78,1.0,1.3,1.6,0.25
HON,1,0.0,139.57999999999998,360.42,1.0,1.3,1.6,0.25
INTC,1,1.0,33.45,66.55,1.0,1.3,1.6,0.25
ISRG,2,0.5,227.29,522.71,1.0,1.3,1.6,0.25
JD,4,0.5,36.28750000000001,63.712500000000006,1.0,1.3,1.6,0.25
LLY,3,0.3333333333333333,295.81,537.5233333333334,1.0,1.3,1.6,0.25
MA,1,1.0,165.04000000000002,334.96,1.0,1.3,1.6,0.25
META,4,0.5,249.67000000000002,562.8299999999999,1.0,1.3,1.6,0.25
