short_mult,wing_mult,iv_mult,max_move_bound,n,win_rate,pooled_breakeven_win_rate,margin_vs_breakeven_pts,mean_risk_reward_ratio,avg_net_credit_dollars,avg_max_risk_dollars,avg_payoff_pct_spot,avg_payoff_pct_credit
1.0,1.3,1.3,0.12,61,0.4262295081967213,0.6638638225255973,-23.7634314328876,1.941436905749444,161.4555737704918,318.8722950819672,-0.0010557690650445067,-0.15525521997249978
1.0,1.3,1.3,0.25,61,0.4262295081967213,0.6638638225255973,-23.7634314328876,1.941436905749444,161.4555737704918,318.8722950819672,-0.0010557690650445067,-0.15525521997249978
1.0,1.3,1.6,0.12,121,0.4297520661157025,0.6612890207715133,-23.15369546558108,1.9224477581121517,141.50280991735536,276.2657851239669,-0.0007961652870458225,-0.11429933334947309
1.0,1.3,1.6,0.25,121,0.4297520661157025,0.6612890207715133,-23.15369546558108,1.9224477581121517,141.50280991735536,276.2657851239669,-0.0007961652870458225,-0.11429933334947309
1.0,1.6,1.3,0.12,136,0.3897058823529412,0.722851832460733,-33.314595010779186,2.6765026709919546,155.6920588235294,406.0726470588236,-0.0036970244388256877,-0.5026863215252789
1.0,1.6,1.3,0.25,136,0.3897058823529412,0.722851832460733,-33.314595010779186,2.6765026709919546,155.6920588235294,406.0726470588236,-0.0036970244388256877,-0.5026863215252789
1.0,1.6,1.6,0.12,245,0.42448979591836733,0.7235812175204157,-29.909142160204837,2.658943963923163,151.97391836734693,397.822,-0.0027893926453014637,-0.37025846668818113
1.0,1.6,1.6,0.25,245,0.42448979591836733,0.7235812175204157,-29.909142160204837,2.658943963923163,151.97391836734693,397.822,-0.0027893926453014637,-0.37025846668818113
1.0,2.0,1.3,0.12,175,0.4114285714285714,0.7757575113808801,-36.43289399523087,4.020862338160657,168.8866285714286,584.2562285714286,-0.008070621146335706,-1.0778565099784125
1.0,2.0,1.3,0.25,175,0.4114285714285714,0.7757575113808801,-36.43289399523087,4.020862338160657,168.8866285714286,584.2562285714286,-0.008070621146335706,-1.0778565099784125
1.0,2.0,1.6,0.12,291,0.40893470790378006,0.7708807281001138,-36.19460201963337,3.597173813277453,173.02048109965637,582.1341580756014,-0.009060521259272565,-0.92550075652632
1.0,2.0,1.6,0.25,291,0.40893470790378006,0.7708807281001138,-36.19460201963337,3.597173813277453,173.02048109965637,582.1341580756014,-0.009060521259272565,-0.92550075652632
1.0,2.5,1.3,0.12,191,0.418848167539267,0.8246655509783729,-40.58173834391059,6.153944012287472,178.2719895287958,838.4819371727749,-0.01635574045360435,-1.8842826141590643
1.0,2.5,1.3,0.25,191,0.418848167539267,0.8246655509783729,-40.58173834391059,6.153944012287472,178.2719895287958,838.4819371727749,-0.01635574045360435,-1.8842826141590643
1.0,2.5,1.6,0.12,307,0.4169381107491857,0.8223192430947657,-40.538113234558,5.156247548372489,189.63224755700327,877.6315960912051,-0.015628711666703383,-1.4591830885565258
1.0,2.5,1.6,0.25,307,0.4169381107491857,0.8223192430947657,-40.538113234558,5.156247548372489,189.63224755700327,877.6315960912051,-0.015628711666703383,-1.4591830885565258
1.0,3.0,1.3,0.12,202,0.41089108910891087,0.8591770935477544,-44.828600443884355,9.401641521115524,177.73663366336635,1084.3920792079207,-0.02301574544923068,-3.5813020870073813
1.0,3.0,1.3,0.25,202,0.41089108910891087,0.8591770935477544,-44.828600443884355,9.401641521115524,177.73663366336635,1084.3920792079207,-0.02301574544923068,-3.5813020870073813
1.0,3.0,1.6,0.12,312,0.4198717948717949,0.8591731528223955,-43.93013579506006,6.9592701441772125,196.70621794871795,1200.0886538461539,-0.021326971793247555,-2.13717685064544
1.0,3.0,1.6,0.25,312,0.4198717948717949,0.8591731528223955,-43.93013579506006,6.9592701441772125,196.70621794871795,1200.0886538461539,-0.021326971793247555,-2.13717685064544
1.2,1.3,1.3,0.12,9,0.3333333333333333,0.6955747368421052,-36.22414035087719,2.234695100098863,160.6688888888889,367.1088888888889,-0.0015471590653375064,-0.6000707660701363
1.2,1.3,1.3,0.25,9,0.3333333333333333,0.6955747368421052,-36.22414035087719,2.234695100098863,160.6688888888889,367.1088888888889,-0.0015471590653375064,-0.6000707660701363
1.2,1.3,1.6,0.12,17,0.17647058823529413,0.6883044776119404,-51.18338893766462,2.2082709366235305,122.84470588235294,271.2729411764706,-0.003489874683046549,-0.6772951407859983
1.2,1.3,1.6,0.25,17,0.17647058823529413,0.6883044776119404,-51.18338893766462,2.2082709366235305,122.84470588235294,271.2729411764706,-0.003489874683046549,-0.6772951407859983
1.2,1.6,1.3,0.12,102,0.4215686274509804,0.7557197049525817,-33.415107750160125,3.0699334650931975,113.63823529411764,351.5578431372549,-0.0041519060775126945,-0.7341876660657553
1.2,1.6,1.3,0.25,102,0.4215686274509804,0.7557197049525817,-33.415107750160125,3.0699334650931975,113.63823529411764,351.5578431372549,-0.0041519060775126945,-0.7341876660657553
