max_move_bound,mechanism,n,win_rate,pooled_breakeven,margin,avg_payoff_pct_credit,median_payoff_pct_credit,avg_max_risk_dollars,avg_net_credit_dollars
0.12,"OLD (1.0x short, flat 1.5x wing)",204,0.6666666666666666,0.7094933235778307,-0.04282665691116405,0.22979264770956784,1.0,950.686274509804,389.2647058823529
0.12,"NEW (1.3x short, tight wing)",204,0.7549019607843137,0.7794448850118953,-0.02454292422758164,0.2055160835677966,1.0,240.90196078431373,68.16666666666666
0.25,"OLD (1.0x short, flat 1.5x wing)",209,0.6698564593301436,0.7094164697327758,-0.03956001040263224,0.23454327626873644,1.0,933.6124401913876,382.4162679425837
0.25,"NEW (1.3x short, tight wing)",209,0.7559808612440191,0.7792423046566692,-0.02326144341265013,0.20937136067542506,1.0,236.19617224880383,66.91387559808612
