ticker,n,win_rate,iv_mult,max_move_bound
ROST,3,0.3333333333333333,1.6,0.25
SBUX,1,1.0,1.6,0.25
SHOP,10,0.1,1.6,0.25
SLB,4,0.75,1.6,0.25
SNAP,4,0.25,1.6,0.25
TGT,1,0.0,1.6,0.25
TJX,1,0.0,1.6,0.25
TSLA,17,0.29411764705882354,1.6,0.25
UBER,3,0.6666666666666666,1.6,0.25
UNH,2,0.0,1.6,0.25
V,1,1.0,1.6,0.25
XOM,1,1.0,1.6,0.25
