signal,kind,iv_mult,year,n,win_rate,avg_pnl_dollars,total_pnl_dollars,worst_loss_dollars,avg_credit,avg_breakeven_win_rate_needed
TF2_donchian20_high,trend-following (candidate),1.0,2025,6,1.0,21.1,126.63,5.21,0.2111,0.8945
TF2_donchian20_high,trend-following (candidate),1.0,2026,2,0.5,7.01,14.02,-38.26,0.3101,0.845
TF2_donchian20_high,trend-following (candidate),1.3,ALL,33,0.8788,19.07,629.2,-167.26,0.3705,0.8148
TF2_donchian20_high,trend-following (candidate),1.3,2021,6,0.8333,10.39,62.36,-80.63,0.3019,0.8491
TF2_donchian20_high,trend-following (candidate),1.3,2022,5,0.8,12.43,62.17,-149.57,0.5775,0.7112
TF2_donchian20_high,trend-following (candidate),1.3,2023,7,0.8571,9.94,69.58,-167.26,0.3851,0.8074
TF2_donchian20_high,trend-following (candidate),1.3,2024,7,1.0,28.32,198.25,11.18,0.2832,0.8584
TF2_donchian20_high,trend-following (candidate),1.3,2025,6,1.0,33.01,198.06,13.86,0.3301,0.8349
TF2_donchian20_high,trend-following (candidate),1.3,2026,2,0.5,19.39,38.78,-27.06,0.4339,0.783
TF3_sma10_30_crossover,trend-following (candidate),1.0,ALL,20,0.85,-2.08,-41.58,-193.03,0.2925,0.8538
TF3_sma10_30_crossover,trend-following (candidate),1.0,2021,4,1.0,20.51,82.05,1.57,0.2051,0.8974
TF3_sma10_30_crossover,trend-following (candidate),1.0,2022,4,0.75,-17.5,-69.99,-163.97,0.3915,0.8042
TF3_sma10_30_crossover,trend-following (candidate),1.0,2023,5,0.8,-12.6,-63.01,-180.74,0.274,0.863
TF3_sma10_30_crossover,trend-following (candidate),1.0,2024,2,1.0,26.26,52.51,12.74,0.2626,0.8688
TF3_sma10_30_crossover,trend-following (candidate),1.0,2025,4,0.75,-25.02,-100.08,-193.03,0.2498,0.8751
TF3_sma10_30_crossover,trend-following (candidate),1.0,2026,1,1.0,56.94,56.94,56.94,0.5694,0.7153
TF3_sma10_30_crossover,trend-following (candidate),1.3,ALL,20,0.85,10.36,207.1,-183.2,0.4168,0.7916
TF3_sma10_30_crossover,trend-following (candidate),1.3,2021,4,1.0,30.86,123.43,6.32,0.3086,0.8457
TF3_sma10_30_crossover,trend-following (candidate),1.3,2022,4,0.75,-3.11,-12.45,-149.57,0.5354,0.7323
TF3_sma10_30_crossover,trend-following (candidate),1.3,2023,5,0.8,-0.03,-0.15,-167.26,0.3997,0.8001
TF3_sma10_30_crossover,trend-following (candidate),1.3,2024,2,1.0,39.3,78.6,24.7,0.393,0.8035
TF3_sma10_30_crossover,trend-following (candidate),1.3,2025,4,0.75,-13.02,-52.1,-183.2,0.3697,0.8151
TF3_sma10_30_crossover,trend-following (candidate),1.3,2026,1,1.0,69.77,69.77,69.77,0.6977,0.6512
