exit_time,n,win_rate_pct,avg_payoff,total_payoff,avg_payoff_pct_credit,avg_payoff_pct_spot,worst,best
09:30,29,37.9,-0.6374,-18.48,-61.2,-0.507,-14.45,6.26
09:35,29,37.9,-0.4399,-12.76,-52.1,-0.446,-14.45,6.26
09:45,29,44.8,-0.2355,-6.83,-35.5,-0.316,-14.45,6.26
10:00,29,48.3,-0.0509,-1.48,-25.4,-0.254,-14.45,6.26
10:30,29,48.3,-0.002,-0.06,-26.0,-0.252,-14.45,6.26
11:00,29,44.8,-0.0958,-2.78,-30.0,-0.308,-14.45,6.26
12:00,29,44.8,-0.0969,-2.81,-31.4,-0.318,-14.45,6.26
close,29,48.3,0.0105,0.3,-28.2,-0.286,-14.45,6.26
