exit_time,n,win_rate_pct,avg_payoff,total_payoff,avg_payoff_pct_credit,avg_payoff_pct_spot,worst,best
09:30,93,81.7,0.6084,56.58,54.1,0.415,-38.02,10.48
09:35,93,75.3,0.122,11.35,31.4,0.248,-38.02,10.48
09:45,93,76.3,-0.0091,-0.85,24.4,0.216,-40.7,10.48
10:00,93,76.3,0.8431,78.41,31.5,0.281,-15.4,10.99
10:30,93,76.3,0.8928,83.03,28.4,0.282,-15.4,10.99
11:00,93,71.0,0.4394,40.86,18.8,0.202,-19.88,10.48
12:00,93,71.0,0.0711,6.61,17.0,0.162,-22.69,10.48
close,93,72.0,-0.0271,-2.52,18.2,0.177,-38.6,10.48
