Got CBOE DataShop token OK
Real universe: 311 tickers from EVC's own CANDIDATE_POOL
  [117/311] HD: 0 real events analyzed, 4 skipped
  [118/311] HES: earnings/history lookup failed: 'Index' object has no attribute 'tz_localize'
  [119/311] HIG: 0 real events analyzed, 4 skipped
  [120/311] HII: 0 real events analyzed, 4 skipped
  [121/311] HLT: 0 real events analyzed, 4 skipped
  [122/311] HOLX: earnings/history lookup failed: 'Index' object has no attribute 'tz_localize'
  [123/311] HON: 0 real events analyzed, 4 skipped
  [124/311] HOOD: 0 real events analyzed, 4 skipped
  [125/311] HRL: 0 real events analyzed, 4 skipped
  [126/311] HUBS: 0 real events analyzed, 4 skipped
  [127/311] HUM: 0 real events analyzed, 4 skipped
  [128/311] IBM: 0 real events analyzed, 4 skipped
  [129/311] ILMN: 0 real events analyzed, 4 skipped
  [130/311] IMAX: 0 real events analyzed, 4 skipped
  [131/311] INTC: 0 real events analyzed, 4 skipped
  [132/311] INTU: 0 real events analyzed, 4 skipped
  [133/311] ISRG: 0 real events analyzed, 4 skipped
  [134/311] ITW: 0 real events analyzed, 4 skipped
  [135/311] IWM: no earnings calendar or history
  [136/311] JBHT: 0 real events analyzed, 4 skipped
  [137/311] JBLU: 0 real events analyzed, 4 skipped
  [138/311] JD: 0 real events analyzed, 4 skipped
  [139/311] JNJ: 0 real events analyzed, 4 skipped
  [140/311] JPM: 0 real events analyzed, 4 skipped
  [141/311] K: earnings/history lookup failed: 'Index' object has no attribute 'tz_localize'
  [142/311] KEY: 0 real events analyzed, 4 skipped
  [143/311] KLAC: 0 real events analyzed, 4 skipped
  [144/311] KO: 0 real events analyzed, 4 skipped
  [145/311] KRE: no earnings calendar or history
  [146/311] KSS: 0 real events analyzed, 4 skipped
  [147/311] L: 0 real events analyzed, 4 skipped
  [148/311] LDOS: 0 real events analyzed, 4 skipped
  [149/311] LHX: 0 real events analyzed, 4 skipped
  [150/311] LI: 0 real events analyzed, 4 skipped
  [151/311] LITE: 0 real events analyzed, 4 skipped
  [152/311] LLY: 0 real events analyzed, 4 skipped
  [153/311] LMT: 0 real events analyzed, 4 skipped
  [154/311] LOW: 0 real events analyzed, 4 skipped
  [155/311] LRCX: 0 real events analyzed, 4 skipped
  [156/311] LULU: 0 real events analyzed, 4 skipped
  [157/311] LUV: 0 real events analyzed, 4 skipped
  [158/311] LVS: 0 real events analyzed, 4 skipped
  [159/311] LYB: 0 real events analyzed, 4 skipped
  [160/311] LYV: 0 real events analyzed, 4 skipped
  [161/311] M: 0 real events analyzed, 4 skipped
  [162/311] MA: 0 real events analyzed, 4 skipped
  [163/311] MAR: 0 real events analyzed, 4 skipped
  [164/311] MARA: 0 real events analyzed, 4 skipped
  [165/311] MCD: 0 real events analyzed, 4 skipped
  [166/311] MCHP: 0 real events analyzed, 4 skipped
  [167/311] MCO: 0 real events analyzed, 4 skipped
  [168/311] MDB: 0 real events analyzed, 4 skipped
  [169/311] MDLZ: 0 real events analyzed, 4 skipped
  [170/311] MDT: 0 real events analyzed, 4 skipped
  [171/311] MET: 0 real events analyzed, 4 skipped
  [172/311] META: 0 real events analyzed, 4 skipped
  [173/311] MGM: 0 real events analyzed, 4 skipped
  [174/311] MMM: 0 real events analyzed, 4 skipped
  [175/311] MO: 0 real events analyzed, 4 skipped
  [176/311] MOS: 0 real events analyzed, 4 skipped
  [177/311] MP: 0 real events analyzed, 4 skipped
