ticker,earnings_date,timing,outcome_date,spot,expected_move,net_credit,short_put,long_put,short_call,long_call,price_09:30,price_09:35,price_09:45,price_10:00,price_10:30,price_11:00,price_12:00,price_close,payoff_09:30,payoff_09:35,payoff_09:45,payoff_10:00,payoff_10:30,payoff_11:00,payoff_12:00,payoff_close
TMO,2026-07-23,BMO,2026-07-23,526.4600219726562,29.78,4.18,490.0,480.0,555.0,570.0,573.68,583.18,574.21,576.88,572.83,579.75,578.63,572.04,-6.640000000000001,-6.640000000000001,-6.640000000000001,-6.640000000000001,-6.640000000000001,-6.640000000000001,-6.640000000000001,-6.640000000000001
TMO,2026-04-23,BMO,2026-04-23,513.97998046875,25.380000000000003,2.19,480.0,475.0,540.0,550.0,472.65,465.88,466.69,468.01,472.35,470.72,461.15,466.7,-0.6200000000000001,-0.6200000000000001,-0.6200000000000001,-0.6200000000000001,-0.6200000000000001,-0.6200000000000001,-0.6200000000000001,-0.6200000000000001
TMO,2026-01-29,BMO,2026-01-29,608.02001953125,27.9,3.09,570.0,565.0,635.0,650.0,585.8,575.87,579.54,579.3,586.38,587.67,594.52,592.04,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09
CI,2026-07-30,BMO,2026-07-30,296.4700012207031,16.85,0.52,275.0,270.0,315.0,320.0,286.0,283.25,284.5,286.83,288.71,288.06,289.06,287.77,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
CI,2026-04-30,BMO,2026-04-30,292.32000732421875,18.35,2.32,270.0,265.0,310.0,320.0,293.77,284.0,280.92,285.94,287.74,291.11,290.95,290.53,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
CI,2026-02-05,BMO,2026-02-05,271.7099914550781,17.68,2.16,250.0,245.0,290.0,300.0,277.2,275.81,275.47,280.06,281.72,280.12,279.42,284.73,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
VRTX,2026-08-03,AMC,2026-08-04,470.7200012207031,27.28,2.45,435.0,430.0,500.0,510.0,472.33,478.76,483.0,486.16,478.36,479.22,477.31,478.78,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
VRTX,2026-05-04,AMC,2026-05-05,429.8500061035156,26.66,2.73,395.0,390.0,455.0,470.0,431.99,423.87,412.6,417.98,422.65,425.05,418.3,424.21,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
VRTX,2026-02-12,AMC,2026-02-13,465.0199890136719,34.1,2.76,420.0,415.0,500.0,515.0,471.91,490.04,485.55,488.06,491.62,495.93,493.67,491.75,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76
MRNA,2026-02-13,BMO,2026-02-13,40.11000061035156,3.5,0.25,36.0,35.0,44.0,45.0,41.85,42.85,43.63,43.37,42.93,43.59,43.65,42.23,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
EW,2026-02-10,AMC,2026-02-11,77.05000305175781,6.14,1.16,70.0,67.5,82.5,87.5,78.61,76.03,75.81,75.83,75.86,77.37,78.66,79.29,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
ALGN,2026-07-29,AMC,2026-07-30,180.0800018310547,19.67,2.69,155.0,150.0,200.0,210.0,180.72,180.75,175.88,173.21,174.4,173.96,176.0,173.4,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
ALGN,2026-04-29,AMC,2026-04-30,178.39999389648438,18.8,1.41,155.0,150.0,197.5,205.0,177.0,170.5,169.5,168.91,171.13,174.59,173.52,176.18,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
PSX,2026-04-29,BMO,2026-04-29,165.1300048828125,6.27,0.74,157.5,155.0,172.5,175.0,165.15,170.03,169.84,171.98,173.0,174.71,174.75,173.48,0.74,0.74,0.74,0.74,0.24,-1.470000000000008,-1.51,-0.23999999999998978
VLO,2026-07-30,BMO,2026-07-30,301.32000732421875,14.07,1.64,285.0,280.0,315.0,320.0,296.41,302.3,299.4,303.83,309.27,308.81,307.36,311.73,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
HAL,2026-07-21,BMO,2026-07-21,35.11000061035156,1.8,0.24,33.0,32.0,37.0,38.0,33.33,32.77,32.77,32.95,32.82,33.19,33.27,33.2,0.24,0.010000000000003118,0.010000000000003118,0.19000000000000283,0.060000000000000275,0.24,0.24,0.24
DOW,2026-04-23,BMO,2026-04-23,38.810001373291016,2.5,0.3,36.0,35.0,41.0,43.0,39.38,38.23,37.98,37.7,37.65,36.91,37.11,38.53,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
ALB,2026-05-06,AMC,2026-05-07,192.61000061035156,13.21,1.28,175.0,172.5,205.0,210.0,207.01,208.15,214.24,217.63,214.74,211.12,207.84,198.33,-0.7299999999999909,-1.8700000000000057,-2.4399999999999995,-2.4399999999999995,-2.4399999999999995,-2.4399999999999995,-1.5600000000000034,1.28
ALB,2026-02-11,AMC,2026-02-12,175.42999267578125,12.059999999999999,0.8,160.0,157.5,187.5,192.5,173.01,179.36,173.03,170.16,167.51,162.89,160.84,158.86,0.8,0.8,0.8,0.8,0.8,0.8,0.8,-0.3399999999999863
COST,2025-12-11,AMC,2025-12-12,884.47998046875,28.259999999999998,2.72,850.0,840.0,915.0,925.0,883.0,879.51,877.15,879.49,876.58,868.79,873.35,884.3,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72
HD,2026-08-18,BMO,2026-08-18,337.8800048828125,14.379999999999999,2.28,320.0,315.0,350.0,360.0,337.38,338.84,337.99,339.0,339.6,344.35,340.56,337.67,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28
ULTA,2026-08-27,AMC,2026-08-28,540.0999755859375,43.8,4.53,485.0,475.0,585.0,605.0,,,,,,,,,,,,,,,,
ULTA,2026-06-02,AMC,2026-06-03,494.8699951171875,55.54,5.3,425.0,410.0,550.0,580.0,478.74,462.22,471.24,464.46,462.87,466.17,472.93,470.58,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
ULTA,2026-03-12,AMC,2026-03-13,624.7000122070312,50.4,4.56,560.0,550.0,675.0,700.0,566.29,570.11,570.8,565.1,558.94,555.43,547.06,535.61,4.56,4.56,4.56,4.56,3.500000000000054,-0.010000000000050413,-0.8800000000000008,-0.8800000000000008
ULTA,2025-12-04,AMC,2025-12-05,533.9500122070312,37.84,4.56,485.0,475.0,570.0,590.0,578.95,589.14,588.82,593.75,607.56,608.74,609.05,600.1,-4.390000000000046,-14.579999999999988,-14.260000000000051,-10.880000000000003,-10.880000000000003,-10.880000000000003,-10.880000000000003,-10.880000000000003
CMG,2026-07-29,AMC,2026-07-30,34.2400016784668,2.73,0.29,31.0,30.0,37.0,38.0,36.64,38.21,38.96,38.25,38.06,38.28,38.64,38.53,0.29,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42
CMG,2026-04-29,AMC,2026-04-30,32.9900016784668,3.4,0.56,29.0,28.0,36.0,38.0,35.1,33.81,33.65,33.58,34.22,34.16,34.19,33.97,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
CMG,2026-02-03,AMC,2026-02-04,39.16999816894531,4.07,0.53,34.0,33.0,43.0,45.0,37.73,38.4,39.22,39.05,39.44,38.61,39.24,39.92,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
BKNG,2026-08-04,AMC,2026-08-05,194.27000427246094,14.02,0.99,175.0,172.5,210.0,215.0,206.7,208.7,205.63,204.78,206.79,206.88,205.1,207.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
MAR,2026-05-06,BMO,2026-05-06,354.5199890136719,15.82,2.26,335.0,330.0,370.0,380.0,363.87,356.0,356.67,359.27,358.51,361.66,360.83,358.97,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26
LULU,2025-12-11,AMC,2025-12-12,187.00999450683594,21.1,2.3,160.0,155.0,210.0,220.0,204.58,206.49,210.29,209.83,205.38,203.38,205.97,205.03,2.3,2.3,2.010000000000008,2.3,2.3,2.3,2.3,2.3
TPR,2026-08-13,BMO,2026-08-13,153.74000549316406,15.32,1.7,135.0,130.0,170.0,177.5,132.7,128.35,130.74,131.33,129.62,130.68,131.72,128.42,-0.6000000000000114,-1.5999999999999999,-2.5599999999999907,-1.9699999999999875,-1.5999999999999999,-2.619999999999993,-1.5800000000000012,-1.5999999999999999
VFC,2026-01-28,BMO,2026-01-28,20.280000686645508,2.0,0.27,18.0,17.0,22.0,23.0,17.89,18.96,18.64,18.45,18.5,18.51,18.41,19.11,0.1600000000000006,0.27,0.27,0.27,0.27,0.27,0.27,0.27
PM,2026-07-22,BMO,2026-07-22,188.0399932861328,10.15,1.66,175.0,172.5,197.5,205.0,192.03,195.98,193.55,194.96,193.26,192.0,193.37,194.26,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66
