ticker,entry_date,outcome_date,spot,implied_move_pct,net_credit,outcome_close,close_payoff,n_trailing_quarters,trailing_avg_abs_move_pct,trailing_max_abs_move_pct,trailing_blowouts_gt12pct,trailing_blowouts_gt15pct
GE,2026-04-20,2026-04-21,303.6,5.25,1.54,286.73,1.54,8,6.02,9.05,0,0
RTX,2026-07-22,2026-07-23,194.88,4.88,0.57,209.16,-3.59,8,5.42,9.81,0,0
GD,2026-04-28,2026-04-29,313.68,5.7,0.55,338.73,-3.18,8,3.47,6.5,0,0
GD,2026-01-27,2026-01-28,366.62,3.86,1.3,356.68,1.3,8,3.73,6.5,0,0
FDX,2026-06-23,2026-06-24,317.24,7.05,1.72,316.83,1.72,8,6.1,15.53,2,2
FDX,2025-12-18,2025-12-19,287.12,6.03,1.18,288.78,1.18,8,8.08,15.53,3,2
T,2026-01-27,2026-01-28,23.0,4.7,0.25,24.07,0.18,8,3.55,6.25,0,0
CELH,2026-08-05,2026-08-06,29.15,11.29,0.33,23.77,-0.34,8,12.13,27.77,3,3
ONON,2026-08-10,2026-08-11,38.78,10.24,0.23,30.91,-0.54,8,7.88,17.99,1,1
ONON,2026-05-11,2026-05-12,34.04,11.72,0.23,33.83,0.23,8,9.58,18.28,2,2
