  [49] BIIB BREAKOUT pct_b=135.7 rsi=None adx=22.015593792110188 dist52w=-1.5526279469724706 -> PREFER-HIGH
  [50] CB BREAKOUT pct_b=98.9 rsi=None adx=15.682261604939107 dist52w=-4.861076596350585 -> PREFER-HIGH
  [51] CINF BREAKOUT pct_b=103.1 rsi=None adx=27.098126949103822 dist52w=-10.842051865739183 -> PREFER-HIGH
  [52] DGX BREAKOUT pct_b=101.9 rsi=None adx=38.05428553391868 dist52w=-0.21277641219347013 -> PREFER-MID
  [53] EW BREAKOUT pct_b=108.5 rsi=None adx=23.671709303119535 dist52w=-4.916999674480237 -> PREFER-HIGH
  [54] GPC BREAKOUT pct_b=104.3 rsi=None adx=23.266803909454506 dist52w=-9.091513174890407 -> PREFER-HIGH
  [55] HD BREAKOUT pct_b=98.2 rsi=None adx=12.065781724392938 dist52w=-20.308445048648878 -> PREFER-HIGH
  [56] HSIC BREAKOUT pct_b=102.4 rsi=None adx=33.27720938065089 dist52w=-1.355516593008619 -> PREFER-MID
  [57] INCY BREAKOUT pct_b=104.3 rsi=None adx=22.85494982465446 dist52w=-1.500799991356523 -> PREFER-HIGH
  [58] LII BREAKOUT pct_b=101.3 rsi=None adx=34.88849082669372 dist52w=-31.244187197044205 -> PREFER-MID
  [59] NRG BREAKOUT pct_b=105.9 rsi=None adx=18.675131800008554 dist52w=-39.259903537057475 -> PREFER-HIGH
  [60] NVR BREAKOUT pct_b=101.8 rsi=None adx=7.797980610565045 dist52w=-25.11307686117289 -> PREFER-HIGH
  [61] PHM BREAKOUT pct_b=104.6 rsi=None adx=11.768026577898867 dist52w=-9.083892515443958 -> PREFER-HIGH
  [62] PNW BREAKOUT pct_b=102.9 rsi=None adx=22.4981244562003 dist52w=-10.661061871897747 -> PREFER-HIGH
  [63] PODD BREAKOUT pct_b=97.5 rsi=None adx=19.21727922980429 dist52w=-58.78351704830793 -> PREFER-HIGH
  [64] SYY BREAKOUT pct_b=99.3 rsi=None adx=13.609437379482321 dist52w=-8.007901226963265 -> PREFER-HIGH
  [65] AIZ PRE-BREAKOUT pct_b=81.0 rsi=None adx=29.550253989877586 dist52w=-4.562791203182077 -> UNKNOWN
  [66] AMGN PRE-BREAKOUT pct_b=90.9 rsi=None adx=45.91237599323051 dist52w=0.0 -> UNKNOWN
  [67] APH PRE-BREAKOUT pct_b=79.3 rsi=None adx=12.578865427759409 dist52w=-11.779720627091896 -> UNKNOWN
  [68] AXP PRE-BREAKOUT pct_b=76.8 rsi=None adx=11.230181593533727 dist52w=-12.356784085348043 -> UNKNOWN
  [69] BALL PRE-BREAKOUT pct_b=93.2 rsi=None adx=17.333670335347094 dist52w=-4.9291674468518 -> UNKNOWN
  [70] BRK-B PRE-BREAKOUT pct_b=87.6 rsi=None adx=20.61481056903567 dist52w=-4.741032903209666 -> UNKNOWN
  [71] BXP PRE-BREAKOUT pct_b=85.5 rsi=None adx=17.34136517470219 dist52w=-11.326494877537732 -> UNKNOWN
  [72] CAH PRE-BREAKOUT pct_b=87.5 rsi=None adx=24.241794845552207 dist52w=-3.283942216782141 -> UNKNOWN
  [73] CSX PRE-BREAKOUT pct_b=86.5 rsi=None adx=23.599246821882737 dist52w=-3.3627671067459515 -> UNKNOWN
  [74] DE PRE-BREAKOUT pct_b=86.3 rsi=None adx=20.455547659872312 dist52w=-2.090593939545814 -> UNKNOWN
  [75] DVA PRE-BREAKOUT pct_b=88.5 rsi=None adx=40.99933043788621 dist52w=-26.751330062175636 -> UNKNOWN
  [76] EXR PRE-BREAKOUT pct_b=84.2 rsi=None adx=12.037014257607375 dist52w=-4.317962603839125 -> UNKNOWN
  [77] FITB PRE-BREAKOUT pct_b=92.0 rsi=None adx=16.435825699793075 dist52w=-7.529050844576046 -> UNKNOWN
  [78] FRT PRE-BREAKOUT pct_b=78.6 rsi=None adx=23.623304216960285 dist52w=-7.5434567333263995 -> UNKNOWN
  [79] FTNT PRE-BREAKOUT pct_b=88.1 rsi=None adx=24.30552148336868 dist52w=-9.685654788312288 -> UNKNOWN
  [80] GWW PRE-BREAKOUT pct_b=87.5 rsi=None adx=16.341683628052426 dist52w=-5.71528449522569 -> UNKNOWN
  [81] IEX PRE-BREAKOUT pct_b=84.8 rsi=None adx=24.231280107071385 dist52w=-2.8396814026818595 -> UNKNOWN
