session_date,ticker,signal_type,alert_price,eod_return_pct,is_win,pct_b,rsi,vol_ratio,tape_label,prev_state,mins_in_pre_breakout,ret_1d,ret_3d,ret_5d,gap_pct
2026-06-29,CRWD,PRE-BREAKOUT,745.01,-0.2818790157808272,0,82.5,,1.61,NO DATA,,,-74.39161841289253,-73.96276617393873,-73.87686136868129,1.199556807597405
2026-06-29,AXON,PRE-BREAKOUT,508.32,0.4485375557750299,1,94.8,,1.77,NO DATA,,,10.286824313732,17.45356823011956,25.99544026846401,
2026-06-25,TECH,BREAKOUT,70.54,0.2268173351888024,1,104.5,77.8,1.74,,,,0.5407754645524613,0.0451460282120428,0.3000396218014513,
2026-06-25,RVTY,BREAKOUT,112.46,0.9514483187772376,1,113.4,,2.39,,,,0.4349682947165993,-1.1290440159973492,1.0925778710034455,
2026-06-25,DHR,BREAKOUT,195.21,-1.229446463504051,0,119.2,,1.5,,,,0.5020247125691522,-2.423033795635954,1.3933674892583587,0.4341649523048714
2026-06-25,UAL,BREAKOUT,135.19,-0.429025364042041,0,111.0,,1.7,,,,0.6805241588516642,0.5917638088350209,-1.3832329874852043,1.3099485229166474
2026-06-25,GLW,BREAKOUT,224.96,1.3557941442193857,1,95.9,,3.11,,,,-1.7380854144035365,13.544626900685117,-12.522229158013513,
2026-06-25,MKC,BREAKOUT,50.13,-3.5507710470355254,0,103.3,,1.5,,,,0.920711618541786,-0.3247379567032017,5.665272732302259,
2026-06-25,PNR,BREAKOUT,75.87,0.1713457229471404,1,97.2,,1.81,,,,0.2867771448849535,0.6017372952912817,0.6804748189233991,
2026-06-25,DLTR,BREAKOUT,118.37,-0.1351701575799174,0,94.3,,1.77,,,,4.646449899959471,2.179603741017304,4.798515714925917,
2026-06-25,JPM,PRE-BREAKOUT,341.01,-1.7272235074667872,0,93.2,,1.19,,,,-3.939978362758788,-4.442098615372347,-2.357701762205468,0.452835265487819
2026-06-25,MU,BREAKOUT,1228.88,-1.2466588606088558,0,86.7,,1.19,,,,-7.870916298657119,-6.084194646497226,-20.62610074665296,17.59544386949766
2026-06-25,BAC,PRE-BREAKOUT,58.83,-1.0878826675012987,0,80.2,,1.23,,,,-1.614820553943165,-3.144654866162962,-0.1699820801694206,0.20786234684961707
2026-06-25,SNDK,PRE-BREAKOUT,2204.0,5.943738656987295,1,79.8,,1.26,,,,-5.140201409369329,3.1637922172754083,-20.825771324863883,
2026-06-25,AMAT,BREAKOUT,651.21,2.578277360605636,1,80.1,,2.65,,,,-3.84507744177666,10.90550239829989,-7.495920979671501,8.280561311645023
2026-06-25,C,PRE-BREAKOUT,146.86,-1.2801336459627883,0,85.8,,1.07,,,,-3.960988386180938,-5.18043431829209,-5.173660022725734,0.9053576745685639
2026-06-25,DRI,PRE-BREAKOUT,214.21,-0.6769084044461372,0,78.3,,1.67,,,,-1.0292047167863931,-4.599608919109756,-5.382215762460032,
2026-06-25,HWM,PRE-BREAKOUT,278.31,-1.857635496950344,0,79.0,,1.43,,,,-3.438582233082041,-3.442178857574513,-2.8855134948158088,
2026-06-25,CRL,BREAKOUT,207.48,2.5207281250564866,1,116.4,,1.74,,,,3.985926354347412,9.306917913115878,11.18662157384146,
