ticker,n,signal_mean,signal_win,baseline_mean,lift,p_value
ISRG,19,3.2065051353800893,57.89473684210527,0.6134640371083917,2.593041098271698,0.21049141069291286
RIVN,16,1.300244659758723,37.5,-1.2819054141957398,2.5821500739544625,0.5849285997704395
AMZN,15,3.2833902313739993,53.333333333333336,1.1590920298725307,2.1242982015014684,0.3761939802143977
XYZ,15,1.0731659279522383,46.666666666666664,-0.5780724897027472,1.6512384176549855,0.6625027338505703
ABBV,15,2.9291574494929042,66.66666666666666,1.5607827362296414,1.3683747132632629,0.4187006852643763
INTC,17,3.5720529319373546,29.411764705882355,2.295535058375749,1.2765178735616058,0.8582416542641128
CMCSA,20,-0.10308508359192556,45.0,-1.0186830584226294,0.9155979748307038,0.4947902767546328
BLK,15,1.5462397814860236,46.666666666666664,0.6680526017335318,0.8781871797524918,0.5458742032810388
XOM,15,2.623088944526555,46.666666666666664,1.9879672295560216,0.6351217149705333,0.8066454909294913
VRTX,18,2.3694225670768176,50.0,1.8289300400031863,0.5404925270736314,0.761006710656058
C,18,1.6974398846603043,50.0,1.4003990037122185,0.2970408809480858,0.8838926810906582
JNJ,15,1.1127391538567994,46.666666666666664,0.8302499896261752,0.2824891642306242,0.8005626897208556
DIA,20,0.9799937125817723,50.0,0.7612583156330982,0.21873539694867405,0.8050823308085227
SPY,15,1.1358732730580376,60.0,0.9658370669965519,0.17003620606148573,0.8312955719041742
XLV,15,0.6010135549528339,53.333333333333336,0.4361332347138394,0.16488032023899452,0.86427869342203
IWM,17,0.6319624388384105,47.05882352941176,0.6380453366212392,-0.006082897782828667,0.9956837295678224
RTX,18,1.5784235559827735,66.66666666666666,1.7658859021342705,-0.18746234615149704,0.8788111905793361
WMT,15,1.3599697446366694,66.66666666666666,1.54809644747265,-0.18812670283598054,0.8873753533979691
GS,18,1.606168485950051,55.55555555555556,1.8467817986829325,-0.24061331273288156,0.902848222238157
XLE,15,1.4031435679396576,40.0,1.7400108696906864,-0.33686730175102886,0.8701995353200839
SBUX,15,-0.19030296101842456,40.0,0.15670917361319453,-0.34701213463161906,0.8518402213054032
HON,16,-0.17037336031365102,31.25,0.2839747831353508,-0.4543481434490018,0.8008947412911542
SLB,16,0.9927563191722757,56.25,1.5677493493444385,-0.5749930301721629,0.8063851234810655
MRK,19,0.581563672834414,47.368421052631575,1.183415687002861,-0.6018520141684469,0.6895393639528061
V,17,0.11006983169731843,29.411764705882355,0.9308981662040688,-0.8208283345067504,0.48599161295974325
PFE,15,-1.590419864131514,20.0,-0.6581712472746414,-0.9322486168568725,0.5314400970193259
VLO,19,2.1721173259021342,57.89473684210527,3.1453649422476717,-0.9732476163455375,0.6516214177421505
CRWD,16,1.8159317424467476,56.25,2.9022289196266953,-1.0862971771799477,0.6366068720727023
UPS,19,-1.8687642131622073,36.84210526315789,-0.7106626010667639,-1.1581016120954435,0.5290577865013668
LMT,17,-0.21773070561858143,41.17647058823529,1.0996703553209044,-1.3174010609394857,0.4020934597037212
TGT,18,-1.7044187462880913,22.22222222222222,-0.3121540422775704,-1.392264704010521,0.46409918508224945
GILD,15,-0.18975681490714655,40.0,1.2841567979251272,-1.4739136128322736,0.3427504323620099
PLTR,15,3.0790630553624223,46.666666666666664,4.694489044873269,-1.6154259895108463,0.6771177981009564
CVX,19,-0.3408367641165044,26.31578947368421,1.4163373055682946,-1.757174069684799,0.3203017112635462
KLAC,15,1.5680288004828014,46.666666666666664,3.424509070412181,-1.8564802699293796,0.5915308125662715
GOOGL,16,-0.12901453355475145,43.75,1.8094311760371873,-1.9384457095919387,0.285343510140392
GE,15,1.1129655694275609,53.333333333333336,3.271567419901709,-2.158601850474148,0.4700873659541489
JPM,17,-0.8804390159697766,41.17647058823529,1.5352582792017446,-2.415697295171521,0.10807959824673212
DHR,15,-2.8314314811916153,26.666666666666668,-0.31910371219419303,-2.512327768997422,0.07189842277084607
DE,16,-1.8199153246174542,43.75,1.1174533630349044,-2.9373686876523584,0.11233443258542562
MRVL,16,0.3856900933595915,43.75,3.50127370537959,-3.1155836120199987,0.467980724943579
MSFT,18,-2.095545371553391,27.77777777777778,1.0321296918755571,-3.1276750634289483,0.053630003648413915
BKNG,17,-1.4901620658050638,41.17647058823529,1.6987761643848072,-3.188938230189871,0.12096515384814237
ABNB,16,-2.6839757271753646,31.25,0.7156068838051008,-3.3995826109804654,0.12662692252841365
UNH,18,-3.598852403939519,22.22222222222222,0.44687553062933116,-4.04572793456885,0.008334150658612536
ROKU,15,-4.165083515979782,33.33333333333333,0.011480085293061567,-4.176563601272843,0.2428621095713092
RBLX,18,-6.808003049816963,16.666666666666664,0.467158830328112,-7.275161880145076,0.003539413192396438
