ticker,direction,entry_date,hold_days,ret_pct,max_hold_used
AAPL,long,2021-11-19,20,7.6752341084521,True
AAPL,long,2022-01-07,1,-0.4048799529836167,False
AAPL,long,2022-06-10,2,-5.3607102494292125,False
AAPL,short,2022-09-30,17,-7.8284241606424,False
AAPL,short,2022-12-12,20,6.454093659454408,True
AAPL,long,2023-08-01,3,-7.261516307130556,False
AAPL,short,2023-10-06,2,-2.640964474853158,False
AAPL,short,2024-04-09,18,-8.701842442281848,False
AAPL,short,2024-09-17,8,-5.580529912460164,False
AAPL,long,2024-10-21,10,-5.3060365124050435,False
AAPL,long,2025-07-03,20,-4.6052271009911045,True
AAPL,short,2025-08-05,3,-12.758118478724189,False
AAPL,long,2025-12-02,12,-3.819787123178009,False
AAPL,short,2026-01-06,19,-0.9288430660404856,False
AAPL,long,2026-04-14,20,13.71262788542671,True
ABBV,long,2021-11-01,20,0.026029309585151594,True
ABBV,long,2021-12-08,20,10.880613924796156,True
ABBV,long,2022-02-07,20,4.236024513071457,True
ABBV,short,2022-05-13,2,-0.8864558900945507,False
ABBV,short,2022-06-07,13,-4.233597398735789,False
ABBV,short,2022-08-02,20,3.9878098286579955,True
ABBV,long,2022-10-25,20,7.944331962313478,True
ABBV,short,2023-01-13,20,-1.078308520703053,True
ABBV,long,2023-03-13,20,8.308728109270124,True
ABBV,short,2023-07-07,7,0.41559758716424033,False
ABBV,long,2023-07-21,20,5.583686787487241,True
ABBV,short,2023-08-28,12,-4.45305813776169,False
ABBV,short,2023-10-30,20,1.8411860180591044,True
ABBV,long,2024-02-06,20,5.482087967788796,True
ABBV,short,2024-04-05,20,2.505956377301899,True
ABBV,short,2024-05-28,7,-7.815798364991777,False
ABBV,short,2024-07-18,2,0.48151123679288643,False
ABBV,short,2024-10-21,9,-7.86391596095477,False
ABBV,long,2025-01-06,8,-5.100122404558293,False
ABBV,long,2025-06-11,10,-1.3467852017949533,False
ABBV,long,2025-07-11,11,-2.7696091258403444,False
ABBV,long,2025-08-08,20,5.379742493757322,True
ABBV,short,2025-11-03,9,-7.236481661706695,False
ABBV,short,2025-12-15,9,-2.943270907531148,False
ABBV,short,2026-01-13,16,0.2323119891002534,False
ABBV,long,2026-03-05,6,-5.886387456493458,False
ABBV,short,2026-03-18,20,4.3524002319615285,True
ABBV,short,2026-04-24,12,-4.489020390768594,False
ABBV,long,2026-05-18,20,5.751773724563369,True
ABBV,long,2026-07-29,4,-7.724911647329014,False
ABNB,long,2021-11-08,14,-11.443326075247473,False
ABNB,short,2022-01-25,11,-17.810983995766993,False
ABNB,short,2022-04-25,20,26.598848289197406,True
ABNB,long,2022-06-13,3,-9.324255206774401,False
ABNB,long,2022-07-22,20,5.955133157626924,True
ABNB,long,2022-10-20,10,-20.911046110985755,False
ABNB,short,2022-12-19,16,-10.032393602082458,False
ABNB,short,2023-04-11,14,-6.92145190149025,False
ABNB,long,2023-07-13,19,-0.7844066954632023,False
ABNB,long,2023-11-17,20,16.46269105639191,True
ABNB,short,2024-01-23,20,-4.546413655456427,True
ABNB,long,2024-03-04,20,0.131336286356043,True
ABNB,short,2024-04-09,14,-0.43330048592937764,False
ABNB,short,2024-05-13,19,-0.6936445095495403,False
ABNB,long,2024-07-03,8,-1.7217913665256046,False
ABNB,short,2024-07-25,20,18.26548888620022,True
ABNB,long,2024-09-20,20,5.0989717506142895,True
ABNB,long,2024-11-08,3,-1.4182844643045533,False
ABNB,long,2024-12-11,4,-4.6437752543535105,False
ABNB,long,2025-02-14,12,-9.86502890184562,False
ABNB,long,2025-07-31,1,-4.994430966633812,False
ABNB,short,2025-10-09,7,-5.603519883199204,False
ABNB,short,2026-01-21,20,3.7634807081301624,True
ABNB,short,2026-03-31,10,-9.94642587540242,False
ABNB,short,2026-05-18,19,-4.089892669563433,False
ABNB,long,2026-06-22,20,2.2130872964462034,True
ABNB,short,2026-07-29,2,0.32234080131682274,False
ADBE,long,2021-11-30,1,-4.337766483720462,False
ADBE,short,2021-12-07,20,20.143126915017216,True
ADBE,short,2022-02-15,20,8.324873796314503,True
ADBE,long,2022-06-03,8,-12.488676625685823,False
ADBE,long,2022-07-21,20,8.638524221496668,True
ADBE,long,2022-10-21,13,-0.7043407375563193,False
ADBE,long,2023-01-24,18,-1.9912111723334514,False
ADBE,short,2023-05-04,13,-6.451709092242153,False
ADBE,long,2023-07-14,19,-0.29187955449788694,False
ADBE,short,2023-08-17,9,-3.878092447916659,False
ADBE,long,2023-12-13,1,-7.260348098205016,False
ADBE,long,2024-05-07,16,-9.469861266501468,False
ADBE,short,2024-09-17,20,3.101333218160207,True
ADBE,short,2025-06-18,20,4.739702115241196,True
ADBE,short,2025-10-13,10,-5.467940395864046,False
ADBE,long,2026-03-06,9,-12.234192034920788,False
ADBE,long,2026-05-06,6,-5.955880291707938,False
ADBE,short,2026-06-01,1,2.922227647569442,False
AMAT,short,2021-12-06,12,-4.486217999509723,False
AMAT,long,2021-12-29,14,-10.525320334384114,False
AMAT,short,2022-03-08,10,-13.097916931377164,False
AMAT,short,2022-05-12,4,-8.065609683636698,False
AMAT,long,2022-05-31,9,-18.06040221673658,False
AMAT,short,2022-08-25,20,17.3384329641316,True
AMAT,short,2022-12-23,12,-13.972483365095512,False
AMAT,long,2023-03-10,19,-3.2871383387079955,False
AMAT,short,2023-04-14,16,-2.1083269025937046,False
AMAT,long,2023-05-16,20,16.833564536670398,True
