ticker,direction,entry_date,hold_days,ret_pct
AAPL,short,2022-09-30,17,-7.8284241606424
AAPL,short,2022-12-12,20,6.454093659454408
AAPL,long,2023-08-01,3,-7.261516307130556
AAPL,long,2023-10-11,11,-6.346800085456072
AAPL,short,2024-04-09,18,-8.701842442281848
AAPL,long,2024-10-21,10,-5.3060365124050435
AAPL,short,2025-08-05,3,-12.758118478724189
AAPL,long,2025-12-02,12,-3.819787123178009
AAPL,long,2026-04-14,20,13.71262788542671
ABBV,short,2022-08-02,20,3.9878098286579955
ABBV,long,2022-10-25,20,7.944331962313478
ABBV,long,2023-03-13,20,8.308728109270124
ABBV,short,2023-07-07,7,0.41559758716424033
ABBV,short,2023-08-28,12,-4.45305813776169
ABBV,short,2023-10-30,20,1.8411860180591044
ABBV,long,2024-02-06,20,5.482087967788796
ABBV,short,2024-05-28,7,-7.815798364991777
ABBV,long,2024-07-23,20,13.172158785776533
ABBV,long,2025-01-06,8,-5.100122404558293
ABBV,long,2025-06-11,10,-1.3467852017949533
ABBV,long,2025-07-11,11,-2.7696091258403444
ABBV,long,2025-08-08,20,5.379742493757322
ABBV,long,2026-03-05,6,-5.886387456493458
ABBV,short,2026-04-24,12,-4.489020390768594
ABBV,long,2026-07-29,4,-7.724911647329014
ABNB,short,2022-12-19,16,-10.032393602082458
ABNB,long,2023-07-13,19,-0.7844066954632023
ABNB,long,2023-11-17,20,16.46269105639191
ABNB,long,2024-03-04,20,0.131336286356043
ABNB,long,2024-07-03,8,-1.7217913665256046
ABNB,short,2024-07-25,20,18.26548888620022
ABNB,long,2024-11-08,3,-1.4182844643045533
ABNB,long,2025-02-14,12,-9.86502890184562
ABNB,long,2025-07-31,1,-4.994430966633812
ABNB,short,2025-10-09,7,-5.603519883199204
ABNB,short,2026-03-31,10,-9.94642587540242
ABNB,long,2026-06-22,20,2.2130872964462034
ADBE,short,2023-05-04,13,-6.451709092242153
ADBE,long,2023-07-14,19,-0.29187955449788694
ADBE,long,2023-08-31,14,-6.054843714293878
ADBE,long,2023-12-13,1,-7.260348098205016
ADBE,short,2024-05-31,11,-15.862590194772785
ADBE,short,2024-09-17,20,3.101333218160207
ADBE,short,2025-06-18,20,4.739702115241196
ADBE,short,2025-10-13,10,-5.467940395864046
ADBE,short,2026-06-01,1,2.922227647569442
AMAT,short,2022-08-25,20,17.3384329641316
AMAT,short,2022-12-23,12,-13.972483365095512
AMAT,long,2023-03-10,19,-3.2871383387079955
AMAT,long,2023-05-16,20,16.833564536670398
AMAT,long,2023-06-28,8,-3.6694715554486557
AMAT,long,2024-06-11,20,6.155669455439083
AMAT,short,2024-11-18,20,-1.586357215110712
AMAT,short,2025-01-07,20,-1.516074646803145
AMAT,short,2025-04-04,13,-16.311670249427014
AMAT,long,2025-09-16,20,26.516290123663786
AMAT,long,2025-10-30,12,-3.81444701488467
AMAT,long,2025-12-01,18,4.6637087352437545
AMAT,long,2026-02-18,15,-2.920111001855541
AMAT,long,2026-04-09,20,6.59052943502596
AMD,short,2022-08-29,20,25.408111168704583
AMD,short,2022-12-13,20,5.436088614288215
AMD,long,2024-03-01,13,-9.185997472673957
AMD,long,2024-05-17,17,-4.862546778341592
AMD,long,2024-07-09,10,-13.468562710733245
AMD,short,2025-01-13,20,3.6259545015943084
AMD,short,2025-02-26,17,-1.4197289533022905
AMD,long,2025-10-07,20,16.383521502569877
AMD,long,2026-04-07,20,62.769182950061065
AMD,long,2026-07-01,10,-10.150130734094597
AMZN,long,2023-04-28,20,11.491689285853134
AMZN,long,2023-06-28,19,-0.612694687423232
AMZN,long,2023-12-20,11,-2.4852766152112515
AMZN,long,2024-03-05,20,3.0972764444579415
AMZN,long,2024-09-12,18,-1.1255420977845598
AMZN,long,2024-11-04,20,8.648514002084884
AMZN,short,2025-04-04,16,-12.108887964242854
AMZN,long,2025-06-11,20,3.500299196065848
AMZN,long,2025-10-29,16,-6.271851726221744
AMZN,short,2026-03-30,6,-9.812390654998747
AMZN,long,2026-07-15,8,-7.351351595736366
ARKK,short,2022-12-16,17,-6.066953525220442
ARKK,short,2023-04-26,12,-3.3744842702086553
ARKK,long,2023-07-05,20,4.358508884859336
ARKK,short,2023-10-23,11,-14.690221327313658
ARKK,long,2024-02-13,20,4.763887934398947
ARKK,short,2024-05-31,12,-1.111110031850071
ARKK,long,2024-07-08,16,-2.303349332349236
ARKK,long,2024-10-30,20,18.9881386183028
ARKK,long,2025-01-23,20,-2.1138198976594302
ARKK,long,2025-09-16,20,8.310993130357858
ARKK,short,2026-03-27,11,-12.222557721323657
ARKK,short,2026-05-20,6,-10.19227366104747
ARKK,short,2026-07-20,16,-6.45885543360325
AVGO,short,2022-08-25,20,12.141720952237655
AVGO,long,2023-01-13,20,4.153165299824368
AVGO,long,2023-05-18,20,32.33383998251753
AVGO,short,2025-03-31,12,-6.152346512997142
AVGO,long,2025-09-08,17,-2.730849117888401
AVGO,long,2025-10-29,11,-8.898949928406063
AVGO,short,2026-03-27,8,-15.583275738932677
AVGO,long,2026-06-03,3,-19.84316118638735
AVGO,long,2026-07-24,19,-6.100390616820661
AXP,short,2022-12-20,15,-6.848742878521663
AXP,long,2023-02-28,1,1.091896566434758
AXP,short,2023-05-03,18,-3.099308475955964
AXP,short,2023-09-25,18,1.7016040223613804
AXP,short,2023-10-23,11,-8.113071185539965
AXP,long,2024-09-17,20,6.037782658401847
AXP,long,2025-01-17,17,-2.1148793526084897
AXP,long,2025-06-26,17,-1.7572104657218368
AXP,short,2026-05-12,18,0.009604834817844576
BA,short,2022-09-02,20,18.776982364344363
BA,long,2022-12-13,20,12.144841525687289
BA,long,2023-04-04,14,-4.627357338959315
BA,long,2023-06-05,15,-1.8051416567662404
BA,long,2023-07-27,18,-2.2019097452842695
BA,short,2024-02-27,20,6.6839163715353145
BA,short,2024-08-06,17,-1.9953787254226585
BA,short,2024-11-14,10,-10.397726613874303
BA,long,2025-02-07,13,-6.169703667652593
BA,long,2025-08-27,10,-6.530419390435494
BA,long,2025-10-28,2,-10.821892812107903
BA,long,2026-05-12,3,-7.744767576081979
BA,long,2026-07-07,5,-7.965236868288383
BAC,short,2022-09-26,16,-11.366543448208667
BAC,short,2022-12-06,19,1.2438539455357889
BAC,short,2023-08-16,20,1.8487369312959578
BAC,short,2023-09-25,20,7.018182927911932
BAC,long,2024-03-05,20,7.185795303761511
BAC,long,2024-07-09,16,-1.1040161108261337
BAC,long,2024-09-16,20,7.987627839288125
BAC,long,2025-06-24,17,1.219250684115969
BAC,short,2026-05-12,15,-3.02792154354381
BKNG,long,2023-03-03,9,-6.157310192401589
BKNG,long,2023-05-22,4,-6.265527269967331
BKNG,long,2023-06-23,20,9.693138157961334
BKNG,long,2023-09-22,20,-9.46995127335093
BKNG,long,2023-12-12,20,5.7241975874631645
BKNG,long,2024-02-01,17,-3.177117912240035
BKNG,long,2024-03-25,15,-3.898360863356931
BKNG,long,2024-05-09,20,4.755219061077276
BKNG,long,2024-06-20,20,-0.6946186415228262
BKNG,long,2025-02-13,14,-7.184361751512903
BKNG,short,2025-10-09,20,3.614940872000927
