ticker,direction,entry_date,hold_days,ret_pct
AAPL,short,2022-09-30,10,2.0526570792335996
AAPL,short,2022-12-12,10,8.87876555003766
AAPL,long,2023-08-01,3,-7.261516307130556
AAPL,long,2023-10-11,10,-3.9842822482139217
AAPL,short,2024-04-09,10,1.0669846380080616
AAPL,long,2024-10-21,10,-5.3060365124050435
AAPL,short,2025-08-05,3,-12.758118478724189
AAPL,long,2025-12-02,10,-2.9646694870803847
AAPL,long,2026-04-14,10,4.420440291254812
ABBV,short,2022-08-02,10,-0.9703998066658004
ABBV,short,2022-08-30,8,-5.253815402976447
ABBV,long,2022-10-25,10,0.33776937385878725
ABBV,long,2022-11-21,10,5.353930277346675
ABBV,long,2023-03-13,10,5.731539118209938
ABBV,short,2023-07-07,7,0.41559758716424033
ABBV,short,2023-08-28,10,-1.482091229074789
ABBV,short,2023-10-30,10,1.4430929165569761
ABBV,short,2023-11-29,2,-3.905230562816242
ABBV,long,2024-02-06,10,2.0332103799949763
ABBV,long,2024-03-07,9,-3.249354020316908
ABBV,short,2024-05-28,7,-7.815798364991777
ABBV,long,2024-07-23,10,7.148626163205307
ABBV,long,2025-01-06,8,-5.100122404558293
ABBV,long,2025-06-11,10,-1.3467852017949533
ABBV,long,2025-07-11,10,-1.8618807683302818
ABBV,long,2025-08-08,10,5.786620537725917
ABBV,long,2026-03-05,6,-5.886387456493458
ABBV,short,2026-04-24,10,-1.3170514615393758
ABBV,long,2026-07-29,4,-7.724911647329014
ABNB,short,2022-12-19,10,0.8825839533832203
ABNB,long,2023-07-13,10,6.865279810885894
ABNB,long,2023-11-17,10,5.566518229313022
ABNB,long,2024-03-04,10,1.2257703493947947
ABNB,long,2024-07-03,8,-1.7217913665256046
ABNB,short,2024-07-25,10,18.838938485204647
ABNB,long,2024-11-08,3,-1.4182844643045533
ABNB,long,2025-02-14,10,-10.87650668305743
ABNB,long,2025-07-31,1,-4.994430966633812
ABNB,short,2025-10-09,7,-5.603519883199204
ABNB,short,2026-03-31,10,-9.94642587540242
ABNB,long,2026-06-22,10,5.546891446451641
ADBE,short,2023-05-04,10,-3.5807659888402954
ADBE,long,2023-07-14,10,2.228702142341654
ADBE,long,2023-08-31,10,-3.3107834280735826
ADBE,long,2023-12-13,1,-7.260348098205016
ADBE,short,2024-05-31,10,-17.330026830684897
ADBE,short,2024-09-17,10,4.0988748850839585
ADBE,short,2025-06-18,10,1.2187798627054658
ADBE,short,2025-10-13,10,-5.467940395864046
ADBE,short,2026-06-01,1,2.922227647569442
AMAT,short,2022-08-25,10,5.3545150721878265
AMAT,short,2022-12-23,10,-11.738543993727934
AMAT,long,2023-03-10,10,1.0055792447453582
AMAT,long,2023-05-16,10,10.320285551380493
AMAT,long,2023-06-28,8,-3.6694715554486557
AMAT,long,2024-06-11,10,2.156023146200181
AMAT,short,2024-11-18,10,-9.231877184214587
AMAT,short,2025-01-07,10,-5.903253841093026
AMAT,short,2025-04-04,10,-4.995737679304946
